,job_id,build_target,build_tool,build_canceled_open_pr_on_branch
0,168355228,CI,['maven'],False
1,69415280,,,
2,78401345,,['maven'],False
3,93321185,,[],False
4,144522937,IT,['maven'],False
5,166988702,CI,['maven'],False
6,196586791,CI,['maven'],False
7,115695964,CI,['maven'],False
8,91859058,,['maven'],False
9,113113609,IT,['maven'],False
10,131057760,CI,['maven'],False
11,79108893,,[],False
12,105164541,,,
13,58559541,,['maven'],False
14,83258414,,,
15,346703473,BUILD,['maven'],False
16,81967652,,[],False
17,85292510,,['maven'],False
18,129990676,IT,['maven'],False
19,255272052,BUILD,['maven'],False
20,105971460,CI,['maven'],False
21,168871972,WEB,['jest'],False
22,198064654,CI,['maven'],False
23,207674868,WEB_TESTS,['yarn'],False
24,127155048,IT,['maven'],False
25,223867687,WEB_TESTS,"['yarn', 'jest']",False
26,129707206,,[],False
27,144506110,IT,['maven'],False
28,338575624,BUILD,[],True
29,268007736,WEB_TESTS,"['yarn', 'jest']",False
30,224190999,BUILD,['maven'],False
31,274177289,BUILD,[],True
32,78056881,,['maven'],False
33,131422807,IT,['maven'],False
34,79890483,,['maven'],False
35,89610480,,['maven'],False
36,227588805,BUILD,['maven'],False
37,335062259,BUILD,['maven'],False
38,115770371,CI,['maven'],False
39,95334596,MYSQL,['maven'],False
40,265565907,BUILD,[],False
41,255254158,WEB_TESTS,"['yarn', 'jest']",False
42,152744497,CI,['maven'],False
43,130532607,,[],False
44,144685809,WEB,['mocha'],False
45,194780797,WEB,['yarn'],False
46,144939752,,,
47,78172532,,['maven'],False
48,290435703,BUILD,['maven'],False
49,72442601,,['maven'],False
50,84383722,,[],False
51,72835245,,['maven'],False
52,76619109,,['maven'],False
53,306774309,WEB_TESTS,[],True
54,275949698,WEB_TESTS,[],True
55,100533357,CI,['maven'],False
56,321786547,WEB_TESTS,"['yarn', 'jest']",False
57,118037940,IT,['maven'],False
58,171019729,WEB,[],False
59,97629057,WEB,['mocha'],False
60,345285005,BUILD,['maven'],False
61,106744666,IT,['maven'],False
62,121141965,,,
63,331808143,BUILD,[],False
64,78417103,,['maven'],False
65,68982784,,['maven'],False
66,175041853,,,
67,72851871,,[],False
68,116142468,IT,['maven'],False
69,119819461,,,
70,80589140,,['maven'],False
71,137519864,,,
72,133352766,,,
73,305781169,WEB_TESTS,"['yarn', 'jest']",False
74,74547826,,['maven'],False
75,123054870,,,
76,111157154,IT,['maven'],False
77,88986919,,['maven'],False
78,88327346,,['maven'],False
79,72422750,,['maven'],False
80,263007960,WEB_TESTS,[],True
81,68433872,,['maven'],False
82,123899709,WEB,['mocha'],False
83,315394000,BUILD,[],True
84,91817314,,,
85,106940202,POSTGRES,['maven'],False
86,67335506,,['maven'],False
87,82511442,,['maven'],False
88,224673744,BUILD,['maven'],False
89,88322119,,[],False
90,206984871,BUILD,['maven'],False
91,236327687,BUILD,['maven'],False
92,245270668,WEB_TESTS,"['yarn', 'jest']",False
93,141370502,IT,['maven'],False
94,140997289,WEB,['mocha'],False
95,88826569,,['maven'],False
96,111000414,IT,['maven'],False
97,422697833,BUILD,[],False
98,161845207,WEB,['jest'],False
99,183962461,,,
100,120823840,,[],False
101,81438193,,['maven'],False
102,196655658,,[],False
103,91996277,,['maven'],False
104,78002849,,['maven'],False
105,224882465,BUILD,['maven'],False
106,158682122,WEB,['jest'],False
107,87413869,,['maven'],False
108,187499109,CI,['maven'],False
109,252684564,BUILD,[],True
110,121433908,CI,['maven'],False
111,139517282,WEB,['mocha'],False
112,91571698,,['maven'],False
113,122455667,IT,['maven'],False
114,193041582,WEB,['yarn'],False
115,261839006,BUILD,['maven'],False
116,224374458,,,
117,185464744,WEB,['yarn'],False
118,144404002,IT,['maven'],False
119,74921359,,['maven'],False
120,258071110,BUILD,['maven'],False
121,228580083,BUILD,['maven'],False
122,134969660,,[],False
123,66058395,,['maven'],False
124,163962084,WEB,['jest'],False
125,195495322,WEB,['yarn'],False
126,82739973,,[],False
127,534980187,WEB_TESTS,"['gradle', 'yarn', 'jest']",False
128,129668239,IT,['maven'],False
129,76649399,,['maven'],False
130,230293653,BUILD,[],False
131,288717874,BUILD,['maven'],False
132,102147662,IT,['maven'],False
133,215908548,,[],False
134,112101709,WEB,['mocha'],False
135,90340044,,['maven'],False
136,101856432,IT,['maven'],False
137,75401687,,['maven'],False
138,132834635,IT,['maven'],False
139,74938965,,['maven'],False
140,84871925,,[],False
141,74397674,,['maven'],False
142,129747773,IT,['maven'],False
143,125840945,WEB,['mocha'],False
144,106741380,,,
145,75955881,,['maven'],False
146,83323142,,[],False
147,107269124,IT,[],False
148,218937772,WEB_TESTS,"['yarn', 'jest']",False
149,95345775,IT,['maven'],False
150,94374162,,,
151,79844452,,['maven'],False
152,104678011,IT,['maven'],False
153,174562391,,,
154,118229362,IT,['maven'],False
155,237060560,WEB_TESTS,"['yarn', 'jest']",False
156,259267203,WEB_TESTS,"['yarn', 'jest']",False
157,129984476,IT,['maven'],False
158,114221686,IT,['maven'],False
159,74215174,,['maven'],False
160,122282876,IT,['maven'],False
161,280313926,WEB_TESTS,[],True
162,66833292,,['maven'],False
163,216269376,WEB_TESTS,"['yarn', 'jest']",False
164,319157612,BUILD,[],True
165,116588552,IT,['maven'],False
166,88155503,,[],False
167,193165947,WEB,['yarn'],False
168,156225241,CI,['maven'],False
169,72998581,,['maven'],False
170,72254833,,['maven'],False
171,73328224,,['maven'],False
172,139737211,IT,[],False
173,129450515,IT,['maven'],False
174,70067389,,['maven'],False
175,210872174,BUILD,['maven'],False
176,87459101,,['maven'],False
177,223913878,WEB_TESTS,"['yarn', 'jest']",False
178,105719421,IT,['maven'],False
179,87408311,,[],False
180,289954532,BUILD,['maven'],False
181,81342027,,[],False
182,94680256,MYSQL,['maven'],False
