,job_id,build_target,build_tool,build_canceled_open_pr_on_branch,errors,warnings,skipped_words,lines,words,exceptions,error_classes,tests_total,tests_passed,tests_failed,tests_skipped,failed_tasks
0,490126842,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,9,1,1174,3573,[],[],1643,1641,0,2,[]
1,505393216,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,9,1,1206,3637,[],[],1723,1722,0,1,[]
2,650587886,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,7,1,1434,4438,[],[],2329,2328,0,1,[]
3,533456382,BUILD,['gradle'],False,0,0,0,657,2845,[],[],0,0,0,0,[]
4,499449239,BUILD,"['gradle', 'yarn']",False,0,12,0,1658,6769,"['FileNotFound', 'FileNotFound']",[],6,6,0,0,[]
5,623344049,BUILD,['gradle'],False,0,0,8,2433,10112,['FileNotFound'],[],0,0,0,0,[]
6,519216006,BUILD,[],False,0,0,0,503,6984,[],[],0,0,0,0,[]
7,637607833,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,6,1,1356,4001,[],[],2292,2291,0,1,[]
8,680998133,BUILD,['gradle'],False,0,0,46,8397,49894,['FileNotFound'],[],0,0,0,0,[]
9,580592358,BUILD,['gradle'],False,0,0,0,906,4064,[],[],0,0,0,0,['server:sonar-vsts:yarn']
10,530875036,BUILD,"['gradle', 'yarn']",False,0,19,0,1611,6792,"['FileNotFound', 'FileNotFound']",[],0,0,0,0,[]
11,581341628,BUILD,['gradle'],False,0,0,11,2612,10584,"['FileNotFound', 'FileNotFound']",[],0,0,0,0,[]
12,647263632,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,6,1,1371,6619,[],[],2292,2291,0,1,[]
13,684599506,BUILD,"['gradle', 'yarn']",False,0,6,46,8426,50341,['FileNotFound'],[],0,0,0,0,[]
14,511033284,BUILD,"['gradle', 'yarn']",False,0,12,0,1654,6809,"['FileNotFound', 'FileNotFound']",[],6,6,0,0,[]
15,662112705,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,7,1,1456,4483,[],[],2387,2376,0,11,[]
16,611525550,BUILD,"['gradle', 'yarn']",False,0,3,8,2000,8169,['FileNotFound'],[],0,0,0,0,[]
17,729780405,BUILD,['gradle'],False,0,0,46,8909,58428,['FileNotFound'],[],0,0,0,0,[]
18,490125330,BUILD,['gradle'],False,0,0,0,850,3579,[],[],0,0,0,0,[]
19,683549108,BUILD,"['gradle', 'yarn']",False,0,59,46,8733,51206,['FileNotFound'],[],0,0,0,0,[]
20,666960186,BUILD,['gradle'],False,0,0,36,6036,33799,"['FileNotFound', 'FileNotFound']",[],0,0,0,0,[]
21,466658567,BUILD,"['gradle', 'yarn']",False,0,10,0,1816,7287,"['FileNotFound', 'FileNotFound']",[],6,6,0,0,[]
22,649619681,BUILD,['gradle'],False,0,0,8,2151,9484,['FileNotFound'],[],0,0,0,0,[]
23,508555473,BUILD,"['gradle', 'yarn']",False,0,12,0,1665,6816,"['FileNotFound', 'FileNotFound']",[],6,6,0,0,[]
24,590085566,BUILD,"['gradle', 'yarn']",False,0,14,9,1972,8007,['FileNotFound'],[],0,0,0,0,[]
25,492331712,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,9,1,1176,3577,[],[],1661,1659,0,2,[]
26,667420826,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,23,1,1519,5156,[],[],2388,2377,0,11,[]
27,546182219,BUILD,"['gradle', 'yarn']",False,0,25,10,1896,7383,"['FileNotFound', 'FileNotFound']",[],0,0,0,0,[]
28,655284794,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,7,1,1470,4577,[],[],2381,2370,0,11,[]
29,557736499,,[],False,0,0,0,3,31,[],[],0,0,0,0,[]
30,526563781,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,5,0,560,2292,[],[],0,0,0,0,[]
31,544871232,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,13,1,1319,3989,[],[],2008,2007,0,1,[]
32,593997507,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,6,1,1296,3889,[],[],2083,2082,0,1,[]
33,490125331,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,9,1,1173,3581,[],[],1643,1641,0,2,[]
34,514815450,BUILD,"['gradle', 'yarn']",False,0,19,0,1480,6052,"['FileNotFound', 'FileNotFound']",[],0,0,0,0,[]
35,485911498,WEB_TESTS,"['gradle', 'yarn', 'jest']",False,0,9,1,1182,7429,[],[],1643,1641,0,2,[]
