,reg_dataset1,reg_dataset2,bin_dataset1,bin_dataset2
0,0.4426607358772616,0.4162271532489761,1.0,0.875
1,0.7174441464516528,0.6008570554025099,0.875,0.875
2,0.34106769259021996,0.5092168367346939,0.875,0.875
3,0.26829328834073507,-1.1652352060515327,0.875,1.0
4,0.2188509490584848,0.3272634937170389,1.0,1.0
5,0.5964415822270765,0.39387004025301897,0.875,0.875
6,0.5475714442889963,0.6052129446594463,1.0,1.0
7,0.9437080375668552,0.8389998662922851,0.875,0.875
8,-1.0453778435867855,0.4069040569850566,1.0,1.0
9,0.5052713741764145,0.6084587395792619,0.875,0.875
10,0.8968683606382339,0.6937112582781457,0.875,0.875
11,0.39007502584003084,0.4057956748802878,1.0,1.0
12,0.617182946360612,0.7350349437860833,0.75,0.75
13,-0.03227200892593607,-0.025110226092459165,0.875,0.875
14,0.37303175959147294,0.48718939847831855,1.0,0.875
15,0.134588779241109,-0.46562499999999996,0.75,0.75
16,0.6622766782571812,-0.4221729740267066,1.0,0.875
17,0.3928651042967677,0.32846759733259656,0.75,0.75
18,0.6234337995814649,0.5976526284720065,0.875,0.875
19,-0.4118509570568549,0.1512607472832218,0.875,0.875
20,0.7588152099958245,-0.4950157140803906,0.875,0.875
21,0.6693147869609599,-0.0772408778424114,0.875,0.75
22,0.3231429031780285,0.13611164800181919,0.875,0.875
23,0.35548192123044076,0.4036660446113062,0.875,1.0
24,0.3972822780095263,-0.27926198884282716,1.0,1.0
25,0.5260096834979111,0.45948521841447265,0.75,0.75
26,0.43659124344164935,0.550069600094373,1.0,0.875
27,0.5060492888291064,-0.15275330396475728,0.875,1.0
28,-0.613405495143172,-2.472862581113689,0.875,0.875
29,0.30597816913443054,-0.37954025736026464,1.0,1.0
30,-2.963278771175561,0.674385512446737,0.875,1.0
31,0.03322108045990857,-0.015130101342097912,0.875,0.875
32,0.5299482530286059,0.15331964679736376,0.875,0.875
33,0.4047801857849569,0.447835238988489,0.875,0.75
34,-0.9431918158213664,-1.3503842783580784,0.625,1.0
35,0.437946167309034,-0.10350475677616222,0.875,0.875
36,0.5814633597129948,-0.27097158414156874,0.75,0.75
37,0.5944513503261044,0.7876714357652774,0.625,0.625
38,0.7492548626438897,0.7179767042540253,1.0,1.0
39,-0.04415437277625589,0.2674420501665421,1.0,1.0
40,-1.9492718672632403,-2.071615973515415,0.875,0.875
41,-0.27609619823134723,0.8372918978912319,1.0,0.875
42,0.42205952325157936,0.4734733787534696,0.875,1.0
43,0.5624024417629212,0.3589587259357795,0.875,0.875
44,0.36559036863197947,0.17760332796564693,0.875,1.0
45,0.44088440407620133,0.08675243393602228,0.875,0.875
46,0.45956870122975424,0.020132324920803746,0.875,0.875
47,-0.26380636825948556,-0.2648584344515821,1.0,1.0
48,0.4622963023621426,0.5544489670975538,0.875,0.875
49,0.42482339785226,-0.5600750698992683,1.0,1.0
50,0.3072054029248261,0.0686083764860409,0.875,0.875
51,-1.6347742940207732,-1.3060864242908004,1.0,1.0
52,0.320456279065476,0.1052935984725698,1.0,1.0
53,0.3748196482798146,0.42764926358893074,0.875,0.875
54,-1.874124818520742,-3.160912882383763,0.875,0.875
55,0.5439434741121223,0.2905728461885432,1.0,1.0
56,-0.5767216848427221,0.15453108156665485,1.0,1.0
57,-1.7563996134920723,-3.00293542074364,0.875,0.875
58,0.46181809246063776,-0.05633024803632303,0.875,0.875
59,0.4518331882822023,0.26317853435652194,0.625,1.0
60,0.3506384350251961,-1.7668824002440164,1.0,1.0
61,0.4082838361964013,0.5516733902693733,0.875,0.875
62,0.4221230396167943,0.35235792355422135,1.0,1.0
63,0.3209096653638147,-0.5776706827309239,0.875,0.875
64,0.6297034615728088,0.6866868260013241,1.0,1.0
65,0.19206484986354466,0.1088146097046413,1.0,1.0
66,0.8365000453563844,0.5155789284430062,0.875,0.875
67,0.5138170854484596,0.6706445888227155,0.75,0.75
68,0.753552988609399,-0.13116747492954528,0.875,0.875
69,-0.27871391857565153,-0.6457645764576461,1.0,1.0
70,-0.6346049465980963,0.5581988105352591,0.875,0.875
71,0.3123670431793615,0.3924989382390415,1.0,1.0
72,0.37564916378209257,0.27099146421536446,1.0,1.0
73,0.1250068985363858,0.025460805084745797,0.625,0.625
74,0.5214907220467254,0.9366752399765897,0.875,0.875
75,0.9187802507604804,-3.3022490221642755,0.875,0.875
76,-0.33887733714406143,-0.6649042508417513,1.0,1.0
77,0.6166568149392312,0.27301245210727976,0.875,0.875
78,0.3534082261584558,0.28810553215001045,0.875,0.875
79,-0.8900422506880956,0.5241301048765165,1.0,1.0
80,0.3644377006499576,0.554675670538088,0.875,0.875
81,-5.5859985549040205,-1.9589511323003577,0.875,0.875
82,0.1885147487703317,-0.014084266931962297,0.875,1.0
83,0.5263451750693895,0.2753437799808123,0.75,0.625
84,0.09470279031782614,0.18588091603053436,0.875,0.875
85,0.6222673635862275,0.9540040894622568,1.0,0.875
86,0.9117579363783674,-2.0610427056890543,1.0,1.0
87,0.44607041946032655,0.5433873756114016,0.875,0.875
88,-3.754360236064829,-5.6608712040266775,1.0,1.0
89,0.9164030374117531,0.3163630610024205,0.875,0.875
90,0.8622563210456435,0.6100407127422687,1.0,1.0
91,0.3114751037665012,0.29069049036581496,0.875,0.875
92,-0.9020524201464621,-0.08559695828918801,0.875,0.875
93,0.7298287022821828,0.3344948797249736,0.875,0.875
94,0.9435665955783592,0.8373044227284774,1.0,0.875
95,0.34429667679547504,0.4564487251972106,1.0,1.0
96,0.3814796782855795,0.4098666381400655,0.875,0.875
97,0.8868988918907363,0.410122473960602,1.0,1.0
98,-0.7086562030697314,0.28282872372382883,1.0,0.875
99,0.41354203197590256,0.2713789471907688,0.75,0.75
100,-1.4956623523229284,-0.9401969168695044,1.0,0.875
101,0.6997200519220687,0.4925658219026736,1.0,1.0
102,-0.648531778023067,-5.535582529187946,0.875,0.875
103,0.3130718337386128,0.5613494585687382,0.875,0.875
104,0.4237436905128181,0.4287478892765393,0.625,1.0
105,0.9419033291792168,0.6536627950046214,0.875,0.875
106,0.5799708999230556,0.2755637836023689,0.875,0.875
107,-4.097319716355085,-0.6130188245510966,1.0,1.0
108,0.36897951446141863,0.4427148456239465,1.0,0.875
109,0.6608254874125232,0.5083598869482965,0.625,1.0
110,-1.165520211606732,-0.08917577799818055,0.75,0.75
111,0.7556321804219774,0.3874434540264021,0.875,0.875
112,0.6820375864854813,0.5281662861335557,0.875,0.875
113,-0.9810955076100123,0.6250548345536249,1.0,1.0
114,0.7043535288082593,0.875663817876899,0.875,0.875
115,0.258615887499029,0.2559018741220407,0.875,0.875
116,0.34983610136816223,0.4023989706066383,1.0,1.0
117,0.28624527201704864,0.5764047502846918,0.875,0.875
118,0.00591361155549841,0.457442748091603,0.875,0.875
119,0.28216621473102366,0.514906504395543,0.875,1.0
