,from_tag,to_tag,buildid
199,5.1.2,5.2,68434039
200,5.1.2,5.2,68436777
201,5.1.2,5.2,67221766
202,5.1.2,5.2,67229366
203,5.1.2,5.2,67321031
204,5.1.2,5.2,66830171
205,5.1.2,5.2,66392745
206,5.1.2,5.2,66900241
207,5.1.2,5.2,67815843
208,5.1.2,5.2,68115956
209,5.1.2,5.2,68120006
210,5.1.2,5.2,68130721
211,5.1.2,5.2,66209154
212,5.1.2,5.2,66210765
213,5.1.2,5.2,66211660
214,5.1.2,5.2,67396923
215,5.1.2,5.2,67506359
216,5.1.2,5.2,67521571
217,5.1.2,5.2,67526106
218,5.1.2,5.2,67353864
219,5.1.2,5.2,67324537
220,5.1.2,5.2,66353067
221,5.1.2,5.2,66355665
222,5.1.2,5.2,67500371
223,5.1.2,5.2,67518646
224,5.1.2,5.2,67532285
225,5.1.2,5.2,67539477
226,5.1.2,5.2,67672514
227,5.1.2,5.2,67806282
228,5.1.2,5.2,67814627
229,5.1.2,5.2,67819751
230,5.1.2,5.2,67183976
231,5.1.2,5.2,67185946
232,5.1.2,5.2,66547894
233,5.1.2,5.2,66549081
234,5.1.2,5.2,66551252
235,5.1.2,5.2,66825555
236,5.1.2,5.2,66826315
237,5.1.2,5.2,66841517
238,5.1.2,5.2,66852429
239,5.1.2,5.2,66852918
240,5.1.2,5.2,66405049
241,5.1.2,5.2,66511433
242,5.1.2,5.2,66524234
243,5.1.2,5.2,66526893
244,5.1.2,5.2,67197055
245,5.1.2,5.2,67321347
246,5.1.2,5.2,67283883
247,5.1.2,5.2,67284207
248,5.1.2,5.2,67284803
249,5.1.2,5.2,67339559
250,5.1.2,5.2,67070905
251,5.1.2,5.2,67237771
252,5.1.2,5.2,66310750
253,5.1.2,5.2,66381640
254,5.1.2,5.2,66384824
255,5.1.2,5.2,74237771
256,5.1.2,5.2,74243609
257,5.1.2,5.2,74256853
258,5.1.2,5.2,74268313
259,5.1.2,5.2,74433652
260,5.1.2,5.2,74433915
261,5.1.2,5.2,74535223
262,5.1.2,5.2,74536743
263,5.1.2,5.2,74538975
264,5.1.2,5.2,74539233
265,5.1.2,5.2,74539532
266,5.1.2,5.2,74543693
267,5.1.2,5.2,74544693
268,5.1.2,5.2,74545210
269,5.1.2,5.2,74546252
270,5.1.2,5.2,74547835
