,from_tag,to_tag,buildid
153,5.1.2,5.2,72091421
154,5.1.2,5.2,72093865
155,5.1.2,5.2,72103120
156,5.1.2,5.2,72104180
157,5.1.2,5.2,72106125
158,5.1.2,5.2,72107651
159,5.1.2,5.2,72109031
160,5.1.2,5.2,72110262
161,5.1.2,5.2,72111416
162,5.1.2,5.2,72113494
163,5.1.2,5.2,72115822
164,5.1.2,5.2,72123499
165,5.1.2,5.2,72124419
166,5.1.2,5.2,72127042
167,5.1.2,5.2,72132199
168,5.1.2,5.2,72133163
169,5.1.2,5.2,72135638
170,5.1.2,5.2,72135696
171,5.1.2,5.2,72172027
172,5.1.2,5.2,72172422
173,5.1.2,5.2,72176274
174,5.1.2,5.2,72177179
175,5.1.2,5.2,72240439
176,5.1.2,5.2,72247448
177,5.1.2,5.2,72247656
178,5.1.2,5.2,72253087
179,5.1.2,5.2,72254832
180,5.1.2,5.2,72255422
181,5.1.2,5.2,72255434
182,5.1.2,5.2,72256109
183,5.1.2,5.2,72256665
184,5.1.2,5.2,72259549
185,5.1.2,5.2,72259878
186,5.1.2,5.2,72260279
187,5.1.2,5.2,72261380
188,5.1.2,5.2,72262581
189,5.1.2,5.2,72265963
190,5.1.2,5.2,72266475
191,5.1.2,5.2,72269213
192,5.1.2,5.2,72269345
193,5.1.2,5.2,72274522
194,5.1.2,5.2,72274536
195,5.1.2,5.2,72275803
196,5.1.2,5.2,72275819
197,5.1.2,5.2,70403791
198,5.1.2,5.2,70403808
199,5.1.2,5.2,70408560
200,5.1.2,5.2,70609724
201,5.1.2,5.2,70656981
202,5.1.2,5.2,70695998
203,5.1.2,5.2,70697628
204,5.1.2,5.2,70698145
205,5.1.2,5.2,70700726
206,5.1.2,5.2,70730787
207,5.1.2,5.2,70739481
208,5.1.2,5.2,70751935
209,5.1.2,5.2,70913673
210,5.1.2,5.2,70914354
211,5.1.2,5.2,70919448
212,5.1.2,5.2,71036752
213,5.1.2,5.2,71036760
214,5.1.2,5.2,71036811
215,5.1.2,5.2,71036824
