,issue_id,fixVersion_name,fixVersion_id
0,97864,8.5,16342
1,97858,8.5,16342
2,97855,8.5,16342
3,97786,8.6,16435
4,97773,8.5,16342
5,97575,8.5,16342
6,97525,8.5,16342
7,97413,8.5,16342
8,97397,8.5,16342
9,97393,8.5,16342
10,97392,8.5,16342
11,97387,8.5,16342
12,97384,8.5,16342
13,97383,8.5,16342
14,97360,8.5,16342
15,97265,8.5,16342
16,97230,8.5,16342
17,97223,8.5,16342
18,97222,8.5,16342
19,97221,8.5,16342
20,97146,8.5,16342
21,97134,8.5,16342
22,97123,8.5,16342
23,97122,8.5,16342
24,97114,8.5,16342
25,97065,8.5,16342
26,97063,8.5,16342
27,97061,8.5,16342
28,97050,8.5,16342
29,96944,8.5,16342
30,96941,8.5,16342
31,96934,8.5,16342
32,96932,8.5,16342
33,96916,8.5,16342
34,96912,8.5,16342
35,96894,8.5,16342
36,96892,8.5,16342
37,96887,8.5,16342
38,96874,8.5,16342
39,96862,8.5,16342
40,96860,8.5,16342
41,96824,8.5,16342
42,96808,8.5,16342
43,96776,8.5,16342
44,96774,8.5,16342
45,96772,8.5,16342
46,96767,8.5,16342
47,96746,8.5,16342
48,96744,8.5,16342
49,96716,8.4.2,16404
50,96716,8.5,16342
51,96711,8.5,16342
52,96697,8.5,16342
53,96696,8.5,16342
54,96691,8.5,16342
55,96668,8.5,16342
56,96632,8.5,16342
57,96608,8.5,16342
58,96547,8.5,16342
59,96544,8.5,16342
60,96509,8.5,16342
61,96503,8.5,16342
62,96443,8.5,16342
63,96424,8.5,16342
64,96405,8.5,16342
65,96398,8.5,16342
66,96391,8.5,16342
67,96367,8.5,16342
68,96361,8.5,16342
69,96331,8.5,16342
70,96330,8.5,16342
71,96313,8.5,16342
72,96296,8.5,16342
73,96290,8.5,16342
74,96254,8.5,16342
75,96189,8.5,16342
76,96173,8.5,16342
77,96166,8.5,16342
78,96145,8.5,16342
79,96138,9.0,15682
80,96062,8.5,16342
81,96056,8.5,16342
82,96055,8.5,16342
83,96037,8.5,16342
84,96001,8.5,16342
85,95998,8.5,16342
86,95997,8.5,16342
87,95996,8.5,16342
88,95956,8.5,16342
89,95951,8.5,16342
90,95923,8.5,16342
91,95887,8.4.1,16358
92,95887,8.5,16342
93,95863,8.4.2,16404
94,95863,8.5,16342
95,95829,8.5,16342
96,95826,8.5,16342
97,95800,8.4.1,16358
98,95800,8.5,16342
99,95791,8.5,16342
100,95777,8.5,16342
101,95773,8.4.1,16358
102,95773,8.5,16342
