,pr_number,title,base_sha,head_sha
246,484,Ignore IT plugins for all PRs,a1da17682267f9cda27504286d98e1e0b96a38d1,21470451d75ad9c1173e5e6853aac0d4ce6e99f8
247,457,Rework new measure API,5abbda8671afd4ba05653277e72b6a3005acff03,15ec53105ce82aa3d85ad322b0a2cca16cfe7d0b
248,482,"Create, Update or Delete a Permission Template",7dccf5e8d7bbbe78a6c90a36040eb4158bf1985f,7dccf5e8d7bbbe78a6c90a36040eb4158bf1985f
249,500,SONAR-6840 Allow measure values of integers with more than 10 digits in database,2c5b2483c87134537a88e057c5d2d588cc0b4f99,bb08dd7c0928e14d31a87082bc63b0f6e598e465
250,2212,MMF-870 Apply feedbacks,9e5686fa47dc38b116020ec99b557432ac0b8600,1f66e0d73d7bbb106e0ff70af073f40f562ed7de
251,2240,SONAR-9540 do not log message exception from ce workers,c699bdd89cd60664d14d32fa098335346ea59034,f01745f4663f2ebd4bd9e5b55e98335739a700a2
252,2204,"MMF-903 Highlight ""Sonar way"" built-in quality profiles",90e2bc7b5149d2d64a1987a11cf50dfce1b8457d,b830a9c108e6d2695749e4fd63910b381b925a10
253,2239,SONAR-9283 trim reading types from settings,2cb0710049f3cc946ba51b1ab6e797e73b1da390,fa6d3bdff62c8c12ea3c910b871b6eb0461752b2
254,2250,SONAR-9480 fix removal of rules from index when too many failures,f13b6bf3ca4f5f74d32ff6e90a16027be44af6e9,03c1367617e1bc0f35ddcd10174ca2b5a01cb90e
255,2205,SONAR-9482 Display the number of 'Sonar way' rules not included in a given quality profile,b3cae67139df544ec8ef3d3e9cbaf9f48546c17a,92e8201451a7007d36c201a3a4d7056f07ef5191
256,2236,Adjust times Highlighting perf test,81a6eef465d500e89d7bbf3a818fed1910951c84,c35f792eb6983cb0fc02d998a93f11b9bba4b4b0
257,2221,SONAR-9508 Create api/ce/worker_count WS,b940617d5719963c8337886d13afe1b34fb2461b,3d2fabafc10a3d3faae70958c704774bf03beeb4
258,2211,Hardening,db739ab58a7979877fabeffdd371118e3dbf89f7,1f0bd7227164f36e6a2f693681b2c7c1a1d4a661
259,2237,SONAR-9536 Upgrade PostgreSQL driver,27a8cad6f47ac67b7439752c5ac4688789c10667,989e5b61674b33a2d31b47dc7916ef5757ae0a5c
260,2207,"SONAR-9483 Compare a profile with a ""Sonar way"" profile in the rules page",0b8163856d3af6b0f99f60b8c84074daebe52e2d,81e6304cb1d7b6b435e06d86ef7d6ababf1fb86a
261,2226,SONAR-9403 Add custom graph to the project activity page,784299357d62cfb87b1885bf3bb87dbc2ed3144d,5de233dc7d54131c7dc9d73ac664295da4c10bec
262,2249,make SelectList available for extensions,d5b6d4102a1a1ab208d2e416d5bd0637a0e0a1bd,d5b6d4102a1a1ab208d2e416d5bd0637a0e0a1bd
263,2208,Rework Settings API,d7f436725b0172217ff8156f1425b4a4a702529c,705245f551114314b126fae10e0f55d81fff3885
264,2209,SONAR-9336 Fix infinite proxy authentication loop,90e2bc7b5149d2d64a1987a11cf50dfce1b8457d,811cf432210ddf6088358d8af33661b063acd636
265,2206,Highlight sonar way quality profiles,7497736b259aafd0457411343ec14993d3566a17,574e458f3601afc69c57045b03d1ccde566261c2
266,2235,Feature/greg/6.5 hardening,81a6eef465d500e89d7bbf3a818fed1910951c84,264e5890252b7e65d5bbad07875d118437481441
