,from_tag,from_author_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days
2307,4.5.5,2015-07-30 10:02:58,cc8a9472c671598fb3158b51b15863448a477a50,12d931e5a31e1692a428bbb34ba11cd63aebf998,16,0,4.5.6,2015-10-16 09:31:18,16,77 days 23:28:20,77.97800925925925,2015-07-30 12:02:58,2015-10-16 11:31:18,77 days 23:28:20,77.97800925925925
2296,4.5.6,2015-10-16 09:31:18,12d931e5a31e1692a428bbb34ba11cd63aebf998,e2afb0bff1b8be759789d2c1bc9348de6f519f83,7,0,4.5.7,2016-04-08 13:44:39,7,175 days 04:13:21,175.1759375,2015-10-16 11:31:18,2016-04-08 15:44:39,175 days 04:13:21,175.1759375
2257,5.1,2015-04-02 08:09:45,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,7,0,5.1.1,2015-06-02 08:34:06,7,61 days 00:24:21,61.01690972222222,2015-04-02 10:09:45,2015-06-02 10:34:06,61 days 00:24:21,61.01690972222222
2271,5.1-RC2,2015-03-23 15:22:47,dfc9f94b72103ee941cc11da6529623fa91df509,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,17,0,5.1,2015-04-02 08:09:45,17,9 days 16:46:58,9.699282407407408,2015-03-23 16:22:47,2015-04-02 10:09:45,9 days 17:46:58,9.740949074074074
2242,5.1.1,2015-06-02 08:34:06,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,12,0,5.1.2,2015-07-27 08:03:21,12,54 days 23:29:15,54.97864583333333,2015-06-02 10:34:06,2015-07-27 10:03:21,54 days 23:29:15,54.97864583333333
2226,5.1.2,2015-07-27 08:03:21,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,2762,0,5.2-RC1,2015-10-12 15:58:42,2762,77 days 07:55:21,77.33010416666667,2015-07-27 10:03:21,2015-10-12 17:58:42,77 days 07:55:21,77.33010416666667
2172,5.2,2015-11-02 08:56:19,f045be98be3ba032b6b19d71574038eeeb91803b,c979578645aaf77c447b250136db32a7067619a1,513,0,5.3-RC1,2015-12-09 12:47:34,513,37 days 03:51:15,37.16059027777778,2015-11-02 09:56:19,2015-12-09 13:47:34,37 days 03:51:15,37.16059027777778
2209,5.2-RC1,2015-10-12 15:58:42,d5dd7720eb79dc0cae1a1b38f83e757a031f8ca9,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,4,0,5.2-RC2,2015-10-13 10:06:23,4,0 days 18:07:41,0.7553356481481481,2015-10-12 17:58:42,2015-10-13 12:06:23,0 days 18:07:41,0.7553356481481481
2191,5.2-RC2,2015-10-13 10:06:23,3d2b3bbd084ccf75d1921382315d3ac3037ed3bc,ef358b002383f918448dcb5e8ac40b64a35a4c26,56,0,5.2-RC3,2015-10-20 13:47:33,56,7 days 03:41:10,7.153587962962963,2015-10-13 12:06:23,2015-10-20 15:47:33,7 days 03:41:10,7.153587962962963
2153,5.3-RC1,2015-12-09 12:47:34,c979578645aaf77c447b250136db32a7067619a1,29a84111f6cc9298f83df515830ff40a41d0976c,40,1,5.3-RC2,2015-12-17 16:02:01,41,8 days 03:14:27,8.135034722222223,2015-12-09 13:47:34,2015-12-17 17:02:01,8 days 03:14:27,8.135034722222223
2098,5.3-RC2,2015-12-17 16:02:01,29a84111f6cc9298f83df515830ff40a41d0976c,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,53,0,5.4-M2,2015-12-28 12:01:19,53,10 days 19:59:18,10.832847222222222,2015-12-17 17:02:01,2015-12-28 13:01:19,10 days 19:59:18,10.832847222222222
2134,5.3-RC2,2015-12-17 16:02:01,29a84111f6cc9298f83df515830ff40a41d0976c,e735681d1b11ff0e90c254a3b5302e290ffa05a6,7,0,5.3-RC3,2016-01-07 13:18:48,7,20 days 21:16:47,20.886655092592594,2015-12-17 17:02:01,2016-01-07 14:18:48,20 days 21:16:47,20.886655092592594
2115,5.3-RC3,2016-01-07 13:18:48,e735681d1b11ff0e90c254a3b5302e290ffa05a6,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,2,0,5.3,2016-01-08 10:09:15,2,0 days 20:50:27,0.8683680555555555,2016-01-07 14:18:48,2016-01-08 11:09:15,0 days 20:50:27,0.8683680555555555
1916,5.4-M10,2016-01-28 16:10:59,bea2847df13b73c7364193419873e3e8b47b5b73,84d4f441879de01734bb9041fc0cdfbd461386ee,37,0,5.4-M11,2016-02-01 14:45:36,37,3 days 22:34:37,3.9407060185185183,2016-01-28 17:10:59,2016-02-01 16:45:10,3 days 23:34:11,3.9820717592592594
1895,5.4-M11,2016-02-01 14:45:36,84d4f441879de01734bb9041fc0cdfbd461386ee,ca8c711145a11e61a3c6571cef38cf8d53b5d423,61,0,5.4-M12,2016-02-03 12:52:05,61,1 days 22:06:29,1.9211689814814814,2016-02-01 16:45:10,2016-02-04 10:10:10,2 days 17:25:00,2.7256944444444446
1874,5.4-M12,2016-02-03 12:52:05,ca8c711145a11e61a3c6571cef38cf8d53b5d423,27858608f46ae9f1cd2c2269151e68f56f882417,28,0,5.4-M13,2016-02-05 10:17:45,28,1 days 21:25:40,1.892824074074074,2016-02-04 10:10:10,2016-02-05 11:43:32,1 days 01:33:22,1.064837962962963
1853,5.4-M13,2016-02-05 10:17:45,27858608f46ae9f1cd2c2269151e68f56f882417,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,22,0,5.4-RC1,2016-02-09 11:54:50,22,4 days 01:37:05,4.067418981481482,2016-02-05 11:43:32,2016-02-09 12:54:50,4 days 01:11:18,4.049513888888889
1751,5.4-M14,2016-02-11 09:49:41,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,e8f951d9f2a99975e31f82d97fce68f47e9242d3,9,0,5.4-RC2,2016-02-15 15:38:37,9,4 days 05:48:56,4.242314814814815,2016-02-11 14:28:21,2016-02-15 16:38:37,4 days 02:10:16,4.090462962962963
2077,5.4-M2,2015-12-28 12:01:19,d7ea0a8b14b8649144f7bfbff055f207d954d6c9,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,17,0,5.4-M3,2016-01-06 09:52:46,17,8 days 21:51:27,8.910729166666666,2015-12-28 13:01:19,2016-01-06 10:52:57,8 days 21:51:38,8.910856481481481
2058,5.4-M3,2016-01-06 09:52:46,0fddc5fa4ea33882b60e072eee51f0e1ea585b4c,eaf7b87bb681e86ebef1778039de929c211b1f99,40,0,5.4-M4,2016-01-12 10:43:56,40,6 days 00:51:10,6.035532407407407,2016-01-06 10:52:57,2016-01-12 11:43:56,6 days 00:50:59,6.035405092592592
2018,5.4-M4,2016-01-12 10:43:56,eaf7b87bb681e86ebef1778039de929c211b1f99,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,40,0,5.4-M5,2016-01-14 07:41:56,40,1 days 20:58:00,1.8736111111111111,2016-01-12 11:43:56,2016-01-14 08:41:56,1 days 20:58:00,1.8736111111111111
2040,5.4-M5,2016-01-14 07:41:56,0ad061c6a5c6a0e1c84511b1a2eb7db2f6764e35,868e4d9403268e0f17235e1993496e92cb8883be,15,0,5.4-M6,2016-01-15 08:27:52,15,1 days 00:45:56,1.0318981481481482,2016-01-14 08:41:56,2016-01-15 09:27:58,1 days 00:46:02,1.0319675925925926
1998,5.4-M6,2016-01-15 08:27:52,868e4d9403268e0f17235e1993496e92cb8883be,366217e521da38a4b17f7e6ada0f4d6612475580,5,0,5.4-M7,2016-01-14 10:05:29,5,-1 days +01:37:37,-0.9322106481481481,2016-01-15 09:27:58,2016-01-15 12:19:47,0 days 02:51:49,0.11931712962962963
1979,5.4-M7,2016-01-14 10:05:29,366217e521da38a4b17f7e6ada0f4d6612475580,162d76a0e6964f1d42069b42ce0362fedd151f75,23,0,5.4-M8,2016-01-18 08:43:40,23,3 days 22:38:11,3.94318287037037,2016-01-15 12:19:47,2016-01-18 18:35:44,3 days 06:15:57,3.2610763888888887
1958,5.4-M8,2016-01-18 08:43:40,162d76a0e6964f1d42069b42ce0362fedd151f75,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,37,0,5.4-M9,2016-01-21 08:29:19,37,2 days 23:45:39,2.990034722222222,2016-01-18 18:35:44,2016-01-21 09:29:19,2 days 14:53:35,2.6205439814814815
1937,5.4-M9,2016-01-21 08:29:19,ed6f219718bdc9c6435e0cd32e4aa81d558fc302,bea2847df13b73c7364193419873e3e8b47b5b73,36,0,5.4-M10,2016-01-28 16:10:59,36,7 days 07:41:40,7.320601851851852,2016-01-21 09:29:19,2016-01-28 17:10:59,7 days 07:41:40,7.320601851851852
1796,5.4-RC1,2016-02-09 11:54:50,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,3,0,5.4-M14,2016-02-11 09:49:41,3,1 days 21:54:51,1.9130902777777778,2016-02-09 12:54:50,2016-02-11 14:28:21,2 days 01:33:31,2.0649421296296295
1797,5.4-RC1,2016-02-09 11:54:50,6bb02b28a33282bda2b9ed6bc995a4aee68ff172,df6129a0913277db1ec8f8ac4b9cc0303b8c9c25,3,0,5.4-M1,2016-02-11 09:49:41,3,1 days 21:54:51,1.9130902777777778,2016-02-09 12:54:50,2016-02-11 14:28:21,2 days 01:33:31,2.0649421296296295
1669,5.4-RC2,2016-02-15 15:38:37,e8f951d9f2a99975e31f82d97fce68f47e9242d3,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,36,1,5.5-M1,2016-02-12 15:43:47,37,-3 days +00:05:10,-2.996412037037037,2016-02-15 16:38:37,2016-02-15 09:09:03,-1 days +16:30:26,-0.3121990740740741
1729,5.4-RC2,2016-02-15 15:38:37,e8f951d9f2a99975e31f82d97fce68f47e9242d3,19310ef05676362f6b88be6d1edc22a12af372b4,11,0,5.4-RC3,2016-03-01 09:36:10,11,14 days 17:57:33,14.74829861111111,2016-02-15 16:38:37,2016-03-01 10:36:10,14 days 17:57:33,14.74829861111111
1708,5.4-RC3,2016-03-01 09:36:10,19310ef05676362f6b88be6d1edc22a12af372b4,ca9cfe39623b1ae2fdab458348f1b92838b7f151,7,0,5.4-RC4,2016-03-04 16:25:47,7,3 days 06:49:37,3.2844560185185183,2016-03-01 10:36:10,2016-03-04 17:25:47,3 days 06:49:37,3.2844560185185183
1687,5.4-RC4,2016-03-04 16:25:47,ca9cfe39623b1ae2fdab458348f1b92838b7f151,7b02df9be3cd9448699b5857586e1c6e2b28c007,3,0,5.4,2016-03-08 15:48:19,3,3 days 23:22:32,3.9739814814814816,2016-03-04 17:25:47,2016-03-08 16:48:19,3 days 23:22:32,3.9739814814814816
1372,5.5,2016-05-02 14:09:29,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,a28bb3e5d6988747f1bcd7896be07a6afe56914f,318,0,5.6-RC1,2016-05-20 11:21:25,318,17 days 21:11:56,17.883287037037036,2016-05-02 16:09:29,2016-05-20 13:21:25,17 days 21:11:56,17.883287037037036
1645,5.5-M1,2016-02-12 15:43:47,8909ccd99b9bc5874f24395519d66e2bcb9bdacb,1792451e5e318a0cfb2e0085115d4c68f8025828,32,0,5.5-M2,2016-02-17 14:21:51,32,4 days 22:38:04,4.943101851851852,2016-02-15 09:09:03,2016-02-17 15:22:01,2 days 06:12:58,2.25900462962963
1505,5.5-M10,2016-03-14 13:09:03,63e3178d2c454d17a7c507a0efca93770be40d41,c5be77384198f6dd7de51a6d275dd1b5ae036daa,159,0,5.5-M11,2016-03-25 09:46:57,159,10 days 20:37:54,10.859652777777777,2016-03-14 14:09:03,2016-03-25 15:02:45,11 days 00:53:42,11.037291666666667
1486,5.5-M11,2016-03-25 09:46:57,c5be77384198f6dd7de51a6d275dd1b5ae036daa,4aa44f864269fb77e1e57c54e15ba913359d383d,75,0,5.5-M12,2016-03-31 14:29:42,75,6 days 04:42:45,6.196354166666667,2016-03-25 15:02:45,2016-03-31 16:55:01,6 days 01:52:16,6.077962962962963
1467,5.5-M12,2016-03-31 14:29:42,4aa44f864269fb77e1e57c54e15ba913359d383d,c6c159847040bd5183c9ceb1df80553c6b2f3396,7,0,5.5-M13,2016-04-01 16:18:35,7,1 days 01:48:53,1.075613425925926,2016-03-31 16:55:01,2016-04-01 18:18:35,1 days 01:23:34,1.0580324074074074
1448,5.5-M13,2016-04-01 16:18:35,c6c159847040bd5183c9ceb1df80553c6b2f3396,0bac18d71ccd2504254cd82c89ea208320a5fb30,13,0,5.5-M14,2016-04-05 09:46:02,13,3 days 17:27:27,3.7273958333333335,2016-04-01 18:18:35,2016-04-05 11:46:02,3 days 17:27:27,3.7273958333333335
1429,5.5-M14,2016-04-05 09:46:02,0bac18d71ccd2504254cd82c89ea208320a5fb30,4c34f8c245f13967643c7ec5cd24d0d06903c44f,37,0,5.5-RC1,2016-04-07 13:38:57,37,2 days 03:52:55,2.161747685185185,2016-04-05 11:46:02,2016-04-07 15:38:57,2 days 03:52:55,2.161747685185185
1624,5.5-M2,2016-02-17 14:21:51,1792451e5e318a0cfb2e0085115d4c68f8025828,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,6,0,5.5-M3,2016-02-18 15:47:35,6,1 days 01:25:44,1.059537037037037,2016-02-17 15:22:01,2016-02-18 16:47:35,1 days 01:25:34,1.0594212962962963
1603,5.5-M3,2016-02-18 15:47:35,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,28,0,5.5-M4,2016-02-22 21:19:15,28,4 days 05:31:40,4.230324074074074,2016-02-18 16:47:35,2016-02-23 09:12:00,4 days 16:24:25,4.683622685185185
1582,5.5-M4,2016-02-22 21:19:15,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,27,0,5.5-M5,2016-02-26 08:50:59,27,3 days 11:31:44,3.4803703703703706,2016-02-23 09:12:00,2016-02-26 09:50:59,3 days 00:38:59,3.0270717592592593
1562,5.5-M5,2016-02-26 08:50:59,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,50cc345d65a5efa7321def634af7b1af130a5990,114,0,5.5-M6,2016-03-02 14:02:34,114,5 days 05:11:35,5.216377314814815,2016-02-26 09:50:59,2016-03-02 15:07:51,5 days 05:16:52,5.220046296296296
1543,5.5-M6,2016-03-02 14:02:34,50cc345d65a5efa7321def634af7b1af130a5990,dd17d404a9b1440d45f12e25ad41f294b6b56a34,24,0,5.5-M7,2016-03-04 16:01:31,24,2 days 01:58:57,2.0826041666666666,2016-03-02 15:07:51,2016-03-04 17:01:31,2 days 01:53:40,2.0789351851851854
1524,5.5-M7,2016-03-04 16:01:31,dd17d404a9b1440d45f12e25ad41f294b6b56a34,63e3178d2c454d17a7c507a0efca93770be40d41,122,0,5.5-M10,2016-03-14 13:09:03,122,9 days 21:07:32,9.88023148148148,2016-03-04 17:01:31,2016-03-14 14:09:03,9 days 21:07:32,9.88023148148148
1410,5.5-RC1,2016-04-07 13:38:57,4c34f8c245f13967643c7ec5cd24d0d06903c44f,23454578ad135cd6d2280d04198a4d5eacf20979,64,0,5.5-RC2,2016-04-28 06:45:25,64,20 days 17:06:28,20.712824074074074,2016-04-07 15:38:57,2016-04-28 08:45:25,20 days 17:06:28,20.712824074074074
1391,5.5-RC2,2016-04-28 06:45:25,23454578ad135cd6d2280d04198a4d5eacf20979,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,3,0,5.5,2016-05-02 14:09:29,3,4 days 07:24:04,4.30837962962963,2016-04-28 08:45:25,2016-05-02 16:09:29,4 days 07:24:04,4.30837962962963
1315,5.6,2016-06-01 11:59:09,074f3d1169f9688d15af4aff67e7e672cbeed782,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,32,0,5.6.1,2016-07-25 08:13:12,32,53 days 20:14:03,53.843090277777776,2016-06-01 13:59:09,2016-07-25 10:13:12,53 days 20:14:03,53.843090277777776
1353,5.6-RC1,2016-05-20 11:21:25,a28bb3e5d6988747f1bcd7896be07a6afe56914f,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,24,0,5.6-RC2,2016-05-27 15:14:46,24,7 days 03:53:21,7.1620486111111115,2016-05-20 13:21:25,2016-05-27 17:14:46,7 days 03:53:21,7.1620486111111115
1334,5.6-RC2,2016-05-27 15:14:46,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,074f3d1169f9688d15af4aff67e7e672cbeed782,7,0,5.6,2016-06-01 11:59:09,7,4 days 20:44:23,4.8641550925925925,2016-05-27 17:14:46,2016-06-01 13:59:09,4 days 20:44:23,4.8641550925925925
1188,5.6.1,2016-07-25 08:13:12,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,41affbb82c5e897eea64f77538ce4b20322ba61c,450,2,6.0-RC1,2016-07-20 08:30:19,452,-5 days +00:17:07,-4.988113425925926,2016-07-25 10:13:12,2016-07-20 10:30:19,-5 days +00:17:07,-4.988113425925926
1296,5.6.1,2016-07-25 08:13:12,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,9c1c190107023ffca5f67d6d0184ff5371c5347f,25,0,5.6.2,2016-09-19 14:34:40,25,56 days 06:21:28,56.26490740740741,2016-07-25 10:13:12,2016-09-19 16:34:40,56 days 06:21:28,56.26490740740741
1277,5.6.2,2016-09-19 14:34:40,9c1c190107023ffca5f67d6d0184ff5371c5347f,a68d912046cfbbe3f9d1493ab53414face1adae2,13,0,5.6.3,2016-10-03 13:56:53,13,13 days 23:22:13,13.973761574074073,2016-09-19 16:34:40,2016-10-03 15:56:53,13 days 23:22:13,13.973761574074073
1258,5.6.3,2016-10-03 13:56:53,a68d912046cfbbe3f9d1493ab53414face1adae2,52298794f1a34a4fd713ff8d441a0c13432e40a9,17,0,5.6.4,2016-12-12 10:11:54,17,69 days 20:15:01,69.84376157407408,2016-10-03 15:56:53,2016-12-12 11:11:54,69 days 19:15:01,69.80209490740741
1239,5.6.4,2016-12-12 10:11:54,52298794f1a34a4fd713ff8d441a0c13432e40a9,29a8d73d1b3fb39fd35c777bf07be40873391517,11,0,5.6.5,2017-01-18 16:19:42,11,37 days 06:07:48,37.25541666666667,2016-12-12 11:11:54,2017-01-18 17:19:42,37 days 06:07:48,37.25541666666667
1220,5.6.5,2017-01-18 16:19:42,29a8d73d1b3fb39fd35c777bf07be40873391517,05221592672b903c703c0424dc77458e615c106d,3,0,5.6.6,2017-02-16 20:34:26,3,29 days 04:14:44,29.176898148148148,2017-01-18 17:19:42,2017-02-16 21:34:26,29 days 04:14:44,29.176898148148148
1201,5.6.6,2017-02-16 20:34:26,05221592672b903c703c0424dc77458e615c106d,3de1bdeb3255fedc75885313205143f28aa89e9c,10,0,5.6.7,2017-09-25 10:46:49,10,220 days 14:12:23,220.59193287037036,2017-02-16 21:34:26,2017-09-25 12:46:49,220 days 15:12:23,220.63359953703704
1105,6.0,2016-08-03 09:19:42,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,12e24a98549f51fc560d782a9d93164021feaccc,564,0,6.1-RC1,2016-09-19 14:58:22,564,47 days 05:38:40,47.23518518518519,2016-08-03 11:19:42,2016-09-19 16:58:22,47 days 05:38:40,47.23518518518519
1163,6.0-RC1,2016-07-20 08:30:19,41affbb82c5e897eea64f77538ce4b20322ba61c,f6e1edf894578320cfad5ef62e9820a10026238a,18,0,6.0-RC2,2016-07-29 08:11:06,18,8 days 23:40:47,8.986655092592592,2016-07-20 10:30:19,2016-07-29 10:11:06,8 days 23:40:47,8.986655092592592
1144,6.0-RC2,2016-07-29 08:11:06,f6e1edf894578320cfad5ef62e9820a10026238a,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,9,0,6.0,2016-08-03 09:19:42,9,5 days 01:08:36,5.047638888888889,2016-07-29 10:11:06,2016-08-03 11:19:42,5 days 01:08:36,5.047638888888889
1085,6.1,2016-10-11 07:02:29,442f1a11b2365618f58f3f456a756995a6318225,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,4,0,6.1.1,2016-11-17 19:45:38,4,37 days 12:43:09,37.52996527777778,2016-10-11 09:02:29,2016-11-17 20:45:38,37 days 11:43:09,37.48829861111111
1125,6.1-RC1,2016-09-19 14:58:22,12e24a98549f51fc560d782a9d93164021feaccc,879e50736fb84d12259e23bd8ea0d2293dc43046,24,0,6.1-RC2,2016-10-03 07:39:32,24,13 days 16:41:10,13.69525462962963,2016-09-19 16:58:22,2016-10-03 09:39:32,13 days 16:41:10,13.69525462962963
1064,6.1-RC2,2016-10-03 07:39:32,879e50736fb84d12259e23bd8ea0d2293dc43046,442f1a11b2365618f58f3f456a756995a6318225,4,0,6.1,2016-10-11 07:02:29,4,7 days 23:22:57,7.974270833333334,2016-10-03 09:39:32,2016-10-11 09:02:29,7 days 23:22:57,7.974270833333334
