,issue_id,fixVersion_name,fixVersion_id
1236,77655,7.5,14693
1237,77649,7.9,14945
1238,77600,7.4,14549
1239,77534,7.4,14549
1240,77428,7.4,14549
1241,77400,7.4,14549
1242,77398,7.4,14549
1243,77383,7.4,14549
1244,77374,7.4,14549
1245,77346,7.5,14693
1246,77255,7.5,14693
1247,77184,7.5,14693
1248,77152,7.4,14549
1249,76964,7.4,14549
1250,76927,7.9,14945
1251,76922,7.4,14549
1252,76919,7.4,14549
1253,76901,7.4,14549
1254,76872,7.4,14549
1255,76870,7.4,14549
1256,76850,7.4,14549
1257,76804,7.6,14753
1258,76792,7.4,14549
1259,76791,7.4,14549
1260,76789,7.4,14549
1261,76787,7.4,14549
1262,76751,7.4,14549
1263,76750,7.4,14549
1264,76729,7.4,14549
1265,76723,7.4,14549
1266,76715,7.4,14549
1267,76713,7.4,14549
1268,76712,7.4,14549
1269,76711,7.8,14939
1270,76706,7.5,14693
1271,76703,7.4,14549
1272,76660,7.4,14549
1273,76515,7.4,14549
1274,76491,7.8,14939
1275,76448,6.7.6,14621
1276,76433,7.4,14549
1277,76430,8.1,15243
1278,76429,7.4,14549
1279,76427,7.4,14549
1280,76426,7.4,14549
1281,76425,7.4,14549
1282,76424,7.4,14549
1283,76423,7.4,14549
1284,76422,7.4,14549
1285,76421,7.4,14549
1286,76420,7.4,14549
1287,76419,7.4,14549
1288,76418,7.4,14549
1289,76417,7.4,14549
1290,76416,7.4,14549
1291,76375,7.4,14549
1292,76328,7.5,14693
1293,76327,7.5,14693
1294,76317,7.6,14753
1295,76288,7.4,14549
1296,76287,7.4,14549
1297,76271,7.4,14549
1298,76216,7.5,14693
1299,76179,7.4,14549
1300,76173,7.4,14549
1301,76171,7.4,14549
1302,76164,7.4,14549
1303,76084,7.4,14549
1304,76083,7.6,14753
1305,76077,7.4,14549
1306,76064,7.4,14549
1307,76042,7.4,14549
1308,76041,7.4,14549
1309,76035,7.5,14693
1310,76011,7.5,14693
1311,75999,7.8,14939
1312,75927,7.4,14549
1313,75919,7.4,14549
1314,75917,7.4,14549
1315,75816,7.4,14549
1316,75809,7.4,14549
1317,75767,7.4,14549
1318,75761,7.4,14549
1319,75755,7.4,14549
1320,75704,7.4,14549
1321,75693,8.0,14962
1322,75685,8.1,15243
1323,75661,7.4,14549
1324,75660,7.4,14549
1325,75658,7.4,14549
1326,75648,6.7.6,14621
1327,75648,7.4,14549
1328,75619,7.4,14549
1329,75597,7.4,14549
1330,75593,7.4,14549
1331,75586,7.4,14549
1332,75583,7.4,14549
1333,75580,7.4,14549
1334,75579,7.4,14549
1335,75578,7.4,14549
1336,75573,7.4,14549
1337,75572,7.4,14549
1338,75569,7.4,14549
1339,75561,7.4,14549
1340,75557,7.4,14549
1341,75540,7.4,14549
1342,75536,7.4,14549
1343,75497,7.4,14549
1344,75495,7.4,14549
1345,75331,7.8,14939
1346,75432,7.4,14549
1347,75423,7.4,14549
1348,75357,6.7.5,14467
1349,75357,7.3,14464
1350,75356,7.4,14549
1351,75346,7.6,14753
1352,75340,7.4,14549
1353,75332,7.3,14464
1354,75322,7.4,14549
1355,75309,7.4,14549
1356,75286,6.7.5,14467
1357,75286,7.3,14464
1358,75274,7.4,14549
1359,75265,7.3,14464
1360,75253,7.4,14549
1361,75243,7.3,14464
1362,75187,6.7.5,14467
1363,75187,7.3,14464
1364,75176,6.7.5,14467
1365,75176,7.3,14464
1366,75162,7.4,14549
1367,75131,7.3,14464
1368,74725,6.7.5,14467
1369,74725,7.3,14464
1370,75085,7.3,14464
1371,75075,7.4,14549
1372,75074,7.4,14549
1373,75055,7.4,14549
1374,75032,7.3,14464
1375,75013,6.7.5,14467
1376,75013,7.3,14464
1377,74998,7.4,14549
1378,74969,7.5,14693
1379,74964,7.4,14549
1380,74946,7.3,14464
1381,74936,8.6,16435
1382,74933,7.3,14464
1383,74913,7.4,14549
1384,74911,7.4,14549
1385,74907,7.3,14464
1386,74901,7.4,14549
1387,74888,7.4,14549
1388,74887,7.4,14549
1389,74882,7.4,14549
1390,74881,7.4,14549
1391,74863,7.4,14549
1392,74861,7.4,14549
1393,74859,7.4,14549
1394,74858,7.4,14549
1395,74855,7.3,14464
1396,74841,7.3,14464
1397,74837,7.4,14549
1398,74835,7.4,14549
1399,74782,8.5,16342
1400,74779,7.8,14939
1401,74764,7.3,14464
1402,74704,7.3,14464
1403,74703,7.3,14464
1404,74644,7.3,14464
1405,74622,7.3,14464
1406,74583,7.3,14464
1407,74582,7.3,14464
1408,74581,7.3,14464
1409,74580,7.3,14464
1410,74579,7.3,14464
1411,74577,7.3,14464
1412,74564,7.7,14848
1413,74561,7.3,14464
1414,74470,7.3,14464
1415,74431,7.4,14549
1416,74430,7.9,14945
1417,74420,7.3,14464
1418,74410,7.8,14939
1419,74385,7.3,14464
1420,74370,7.4,14549
1421,74366,7.3,14464
1422,74322,7.3,14464
1423,74319,7.3,14464
1424,74315,7.3,14464
1425,74312,7.3,14464
1426,74311,7.3,14464
1427,74310,7.3,14464
1428,74300,7.3,14464
1429,74268,7.3,14464
1430,74238,7.4,14549
1431,74226,7.3,14464
1432,74214,7.3,14464
1433,74213,7.3,14464
1434,74175,7.4,14549
1435,74173,7.3,14464
1436,74172,7.3,14464
1437,74171,7.3,14464
1438,74168,7.3,14464
1439,74167,7.3,14464
1440,74113,6.7.5,14467
1441,74113,7.3,14464
1442,74099,7.2.1,14517
