index,failed_gp1_bs1_n_bursts_mean,failed_gp1_bs1_n_bursts_median,failed_gp1_bs1_n_bursts_max,failed_gp1_bs1_n_bursts_min,failed_gp1_bs1_burst_size_mean,failed_gp1_bs1_burst_size_median,failed_gp1_bs1_burst_size_max,failed_gp1_bs1_burst_size_min,failed_gp1_bs2_n_bursts_mean,failed_gp1_bs2_n_bursts_median,failed_gp1_bs2_n_bursts_max,failed_gp1_bs2_n_bursts_min,failed_gp1_bs2_burst_size_mean,failed_gp1_bs2_burst_size_median,failed_gp1_bs2_burst_size_max,failed_gp1_bs2_burst_size_min,failed_gp1_bs3_n_bursts_mean,failed_gp1_bs3_n_bursts_median,failed_gp1_bs3_n_bursts_max,failed_gp1_bs3_n_bursts_min,failed_gp1_bs3_burst_size_mean,failed_gp1_bs3_burst_size_median,failed_gp1_bs3_burst_size_max,failed_gp1_bs3_burst_size_min,failed_gp2_bs1_n_bursts_mean,failed_gp2_bs1_n_bursts_median,failed_gp2_bs1_n_bursts_max,failed_gp2_bs1_n_bursts_min,failed_gp2_bs1_burst_size_mean,failed_gp2_bs1_burst_size_median,failed_gp2_bs1_burst_size_max,failed_gp2_bs1_burst_size_min,failed_gp2_bs2_n_bursts_mean,failed_gp2_bs2_n_bursts_median,failed_gp2_bs2_n_bursts_max,failed_gp2_bs2_n_bursts_min,failed_gp2_bs2_burst_size_mean,failed_gp2_bs2_burst_size_median,failed_gp2_bs2_burst_size_max,failed_gp2_bs2_burst_size_min,failed_gp2_bs3_n_bursts_mean,failed_gp2_bs3_n_bursts_median,failed_gp2_bs3_n_bursts_max,failed_gp2_bs3_n_bursts_min,failed_gp2_bs3_burst_size_mean,failed_gp2_bs3_burst_size_median,failed_gp2_bs3_burst_size_max,failed_gp2_bs3_burst_size_min,failed_gp3_bs1_n_bursts_mean,failed_gp3_bs1_n_bursts_median,failed_gp3_bs1_n_bursts_max,failed_gp3_bs1_n_bursts_min,failed_gp3_bs1_burst_size_mean,failed_gp3_bs1_burst_size_median,failed_gp3_bs1_burst_size_max,failed_gp3_bs1_burst_size_min,failed_gp3_bs2_n_bursts_mean,failed_gp3_bs2_n_bursts_median,failed_gp3_bs2_n_bursts_max,failed_gp3_bs2_n_bursts_min,failed_gp3_bs2_burst_size_mean,failed_gp3_bs2_burst_size_median,failed_gp3_bs2_burst_size_max,failed_gp3_bs2_burst_size_min,failed_gp3_bs3_n_bursts_mean,failed_gp3_bs3_n_bursts_median,failed_gp3_bs3_n_bursts_max,failed_gp3_bs3_n_bursts_min,failed_gp3_bs3_burst_size_mean,failed_gp3_bs3_burst_size_median,failed_gp3_bs3_burst_size_max,failed_gp3_bs3_burst_size_min
28,0.39403973509933776,0.0,5.0,0.0,1.6974789915966386,1.0,20.0,0.0,0.12582781456953643,0.0,3.0,0.0,3.1842105263157894,2.0,20.0,0.0,0.059602649006622516,0.0,2.0,0.0,4.5,3.0,20.0,0.0,0.33112582781456956,0.0,5.0,0.0,1.87,1.0,20.0,0.0,0.11920529801324503,0.0,2.0,0.0,3.4166666666666665,2.5,20.0,0.0,0.059602649006622516,0.0,2.0,0.0,4.833333333333333,4.0,20.0,0.0,0.2847682119205298,0.0,5.0,0.0,2.0,1.0,20.0,0.0,0.11258278145695365,0.0,2.0,0.0,3.5294117647058822,3.0,20.0,0.0,0.06622516556291391,0.0,2.0,0.0,4.6,4.0,20.0,0.0
29,0.16326530612244897,0.0,2.0,0.0,1.25,1.0,3.0,0.0,0.030612244897959183,0.0,1.0,0.0,2.3333333333333335,2.0,3.0,0.0,0.01020408163265306,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.10204081632653061,0.0,1.0,0.0,1.5,1.0,3.0,0.0,0.04081632653061224,0.0,1.0,0.0,2.25,2.0,3.0,0.0,0.01020408163265306,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.09183673469387756,0.0,1.0,0.0,1.5555555555555556,1.0,3.0,0.0,0.04081632653061224,0.0,1.0,0.0,2.25,2.0,3.0,0.0,0.01020408163265306,0.0,1.0,0.0,3.0,3.0,3.0,0.0
30,0.25,0.0,3.0,0.0,1.3333333333333333,1.0,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.25,0.0,3.0,0.0,1.3333333333333333,1.0,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.25,0.0,3.0,0.0,1.3333333333333333,1.0,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
31,0.26666666666666666,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.13333333333333333,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.06666666666666667,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
32,0.45454545454545453,0.0,1.0,0.0,1.6,1.0,4.0,0.0,0.09090909090909091,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.09090909090909091,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.45454545454545453,0.0,1.0,0.0,1.6,1.0,4.0,0.0,0.09090909090909091,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.09090909090909091,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
33,0.16666666666666666,0.0,2.0,0.0,1.5,1.5,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.16666666666666666,0.0,2.0,0.0,1.5,1.5,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.16666666666666666,0.0,2.0,0.0,1.5,1.5,2.0,0.0,0.08333333333333333,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
34,0.4428605943464605,0.0,269.0,0.0,1.6868521549372613,1.0,88.0,0.0,0.14206330031408554,0.0,76.0,0.0,3.141156462585034,2.0,88.0,0.0,0.06112587581541435,0.0,32.0,0.0,4.6521739130434785,3.0,88.0,0.0,0.37376177820729645,0.0,248.0,0.0,1.8222365869424693,1.0,89.0,0.0,0.13505677699927518,0.0,81.0,0.0,3.2754919499105544,2.0,89.0,0.0,0.06233389707658855,0.0,41.0,0.0,4.763565891472868,3.0,89.0,0.0,0.31166948538294276,0.0,245.0,0.0,1.9534883720930232,1.0,89.0,0.0,0.1191108963517758,0.0,84.0,0.0,3.4949290060851927,3.0,89.0,0.0,0.06185068857211887,0.0,41.0,0.0,4.87890625,4.0,89.0,0.0
35,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0,2.0,2.0,2.0,2.0,6.5,6.5,7.0,0.0
36,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
37,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
