,from_tag,to_tag,ahead_by,behind_by
163,5.4-M11,5.5-M1,158,0
164,5.4-M13,5.5-M1,69,0
165,5.4-M1,5.5-M1,44,0
166,5.5-M4,5.5-M1,0,66
167,5.4-M12,5.5-M1,97,0
168,5.4,5.5-M1,36,22
169,5.5-M5,5.5-M1,0,93
170,5.4-M14,5.5-M1,44,0
171,5.5-M2,5.5-M1,0,32
172,5.4-RC1,5.5-M1,47,0
173,4.5-RC1,4.5.5,246,0
174,4.5-RC3,4.5.5,209,0
175,4.4.1,4.5.5,1141,7
176,5.0-RC1,4.5.5,39,1122
177,4.5.3,4.5.5,3,0
178,4.5-RC2,4.5.5,228,0
179,4.5.1,4.5.5,62,0
180,4.5.4,4.5.5,0,0
181,4.5.2,4.5.5,24,0
182,4.5,4.5.5,206,0
183,4.5.7,4.5.5,0,36
184,4.5.1-RC1,4.5.5,70,0
185,5.0-RC2,4.5.5,39,1133
186,4.5.6,4.5.5,0,29
187,5.0.1,5.1.1,1168,0
188,4.5.7,5.1.1,2362,75
189,5.1-RC2,5.1.1,24,0
190,5.0,5.1.1,1181,1
191,5.2-RC2,5.1.1,0,2778
192,5.1.2,5.1.1,0,12
193,5.2-RC1,5.1.1,0,2774
194,5.0-RC2,5.1.1,1229,0
195,5.0-RC1,5.1.1,1240,0
196,4.5.1,5.0-RC4,1197,0
197,4.5.6,5.0-RC4,1174,68
198,5.1-RC2,5.0-RC4,0,1164
199,4.5.3,5.0-RC4,1174,36
200,5.0-RC3,5.0-RC4,36,0
201,4.5.2,5.0-RC4,1174,15
202,5.0-RC2,5.0-RC4,41,0
203,5.1-RC1,5.0-RC4,0,1130
204,4.5.5,5.0-RC4,1174,39
205,5.0-RC1,5.0-RC4,52,0
206,5.0,5.0-RC4,0,8
207,5.0.1,5.0-RC4,0,20
208,4.5.4,5.0-RC4,1174,39
209,4.5.7,5.0-RC4,1174,75
210,2.13,2.12,0,286
211,2.11,2.12,270,6
212,2.14,2.12,0,649
213,2.6,2.12,1235,0
214,2.10.1,2.12,445,4
215,2.10,2.12,445,1
216,2.13.1,2.12,0,289
217,6.4-RC2,6.3.1,0,1020
218,6.3.0.18587,6.3.1,59,0
219,6.2-RC2,6.3.1,1042,0
220,6.4-RC3,6.3.1,0,1032
221,6.3-RC1,6.3.1,69,0
222,6.3.0.18800,6.3.1,43,0
223,6.2.1,6.3.1,1005,0
224,6.4-RC1,6.3.1,0,1008
225,6.3-RC4,6.3.1,19,0
226,6.3,6.3.1,11,0
227,6.3.2,6.3.1,0,7
228,6.2,6.3.1,1026,0
229,6.3.0.18401,6.3.1,69,0
230,6.2-RC3,6.3.1,1030,0
231,6.5-M1,6.6,1282,2
232,6.7-RC1,6.6,0,348
233,6.7,6.6,0,3106
234,6.4,6.6,1468,0
235,6.5-M2,6.6,1143,0
236,6.5,6.6,1055,0
237,6.4-RC3,6.6,1479,0
238,6.5-M4,6.6,1061,0
239,6.5-RC2,6.6,1062,0
240,6.7.1,6.6,0,398
241,6.5-RC1,6.6,1077,0
242,6.7.2,6.6,0,428
243,6.5-M3,6.6,1076,0
244,6.6-RC1,6.6,9,0
245,6.5-M2,6.7-RC1,1491,0
246,6.5-M1,6.7-RC1,1630,2
247,6.6,6.7-RC1,348,0
248,6.5,6.7-RC1,1403,0
249,6.7.1,6.7-RC1,0,50
250,6.5-M4,6.7-RC1,1409,0
251,6.5-RC2,6.7-RC1,1410,0
252,6.7.3,6.7-RC1,0,95
253,6.5-M3,6.7-RC1,1424,0
254,6.5-RC1,6.7-RC1,1425,0
255,6.7.2,6.7-RC1,0,80
256,6.6-RC1,6.7-RC1,357,0
257,6.4,6.7-RC1,1816,0
258,6.7,6.7-RC1,0,2758
259,6.2-RC3,6.3.2,1037,0
260,6.4,6.3.2,0,1036
261,6.3.1,6.3.2,7,0
262,6.4-RC1,6.3.2,0,1001
263,6.3-RC4,6.3.2,26,0
264,6.3-RC1,6.3.2,76,0
265,6.2.1,6.3.2,1012,0
266,6.3,6.3.2,18,0
267,6.3.0.18587,6.3.2,66,0
268,6.3.0.18401,6.3.2,76,0
269,6.4-RC2,6.3.2,0,1013
270,6.3.0.18800,6.3.2,50,0
271,6.2,6.3.2,1033,0
272,6.4-RC3,6.3.2,0,1025
273,2.10,2.11,180,0
274,2.14,2.11,6,919
275,2.12,2.11,6,270
276,2.13,2.11,6,556
277,2.13.1,2.11,6,559
278,2.10.1,2.11,180,3
279,4.5.5,5.0,1182,39
280,5.1-RC1,5.0,1,1123
281,4.5.3,5.0,1182,36
282,5.0-RC3,5.0,44,0
283,5.0.1,5.0,1,13
284,4.5.7,5.0,1182,75
285,5.0-RC4,5.0,8,0
286,5.0-RC1,5.0,60,0
287,5.1,5.0,1,1174
288,5.1-RC2,5.0,1,1157
289,4.5.4,5.0,1182,39
290,5.0-RC2,5.0,49,0
291,4.5.6,5.0,1182,68
292,4.5.2,5.0,1182,15
293,5.2,5.1.2,0,2853
294,5.2-RC3,5.1.2,0,2822
295,5.2-RC2,5.1.2,0,2766
296,5.0,5.1.2,1193,1
297,5.2-RC1,5.1.2,0,2762
298,5.1-RC2,5.1.2,36,0
299,5.0-RC3,5.1.2,1236,0
300,4.5.1,4.5.6,91,0
301,4.5.7,4.5.6,0,7
302,5.0-RC2,4.5.6,68,1133
303,4.5-RC1,4.5.6,275,0
304,5.0-RC3,4.5.6,68,1138
305,4.5,4.5.6,235,0
306,4.5.2,4.5.6,53,0
307,4.5.4,4.5.6,29,0
308,4.5-RC3,4.5.6,238,0
309,4.5.1-RC1,4.5.6,99,0
310,4.5.5,4.5.6,29,0
311,5.0-RC1,4.5.6,68,1122
312,4.5-RC2,4.5.6,257,0
313,4.5.3,4.5.6,32,0
314,5.0,5.2,4046,1
315,5.2-RC3,5.2,31,0
316,5.1-RC2,5.2,2889,0
317,5.2-RC1,5.2,91,0
318,5.1-RC1,5.2,2923,0
319,5.3-RC3,5.2,0,559
320,5.2-RC2,5.2,87,0
321,5.1,5.2,2872,0
322,5.1.2,5.2,2853,0
323,5.3-RC2,5.2,0,552
324,4.5.1-RC1,5.0-RC1,1153,0
325,4.5.1,5.0-RC1,1145,0
326,5.0-RC3,5.0-RC1,0,16
327,4.5,5.0-RC1,1289,0
328,4.5.6,5.0-RC1,1122,68
329,5.0,5.0-RC1,0,60
330,5.0-RC4,5.0-RC1,0,52
331,5.0-RC2,5.0-RC1,0,11
332,4.5.2,5.0-RC1,1122,15
333,4.5-RC3,5.0-RC1,1292,0
334,4.5.5,5.0-RC1,1122,39
335,4.5.3,5.0-RC1,1122,36
336,4.5.7,5.0-RC1,1122,75
337,4.5.4,5.0-RC1,1122,39
338,4.4.1,4.5-RC1,895,7
339,4.4-RC2,4.5-RC1,940,0
340,4.5-RC3,4.5-RC1,0,37
341,4.5-RC2,4.5-RC1,0,18
342,4.5.1-RC1,4.5-RC1,0,176
343,4.4-RC3,4.5-RC1,913,0
344,4.5,4.5-RC1,0,40
345,4.2,4.5-RC1,3235,99
346,4.3,4.5-RC1,2467,16
347,2.12,2.14,649,0
348,2.11,2.14,919,6
349,2.8,2.14,1477,0
350,2.7,2.14,1749,0
351,2.10.1,2.14,1094,4
352,2.6,2.14,1884,0
353,2.9,2.14,1281,0
354,2.10,2.14,1094,1
355,2.13,2.14,374,11
356,2.13.1,2.14,374,14
357,6.5-M2,6.4,0,325
358,6.5-RC1,6.4,0,391
359,6.4-RC3,6.4,11,0
360,6.5-M1,6.4,0,188
361,6.4-RC1,6.4,35,0
362,6.3.0.18800,6.4,1086,0
363,6.3,6.4,1054,0
364,6.3-RC4,6.4,1062,0
365,6.3.2,6.4,1036,0
366,6.3.0.18401,6.4,1112,0
367,6.3.0.18587,6.4,1102,0
368,6.5-M3,6.4,0,392
369,6.3.1,6.4,1043,0
370,6.4-RC2,6.4,23,0
371,6.3.2,6.5-M4,1443,0
372,6.5-RC1,6.5-M4,16,0
373,6.5-M1,6.5-M4,221,2
374,6.5,6.5-M4,0,6
375,6.4-RC2,6.5-M4,430,0
376,6.5-M3,6.5-M4,15,0
377,6.5-RC2,6.5-M4,1,0
378,6.6-RC1,6.5-M4,0,1052
379,6.5-M2,6.5-RC2,81,0
380,6.4-RC3,6.5-RC2,417,0
381,6.6-RC1,6.5-RC2,0,1053
382,6.3.1,6.5-RC2,1449,0
383,6.4-RC2,6.5-RC2,429,0
384,6.3.2,6.5-RC2,1442,0
385,6.4,6.5-RC2,406,0
386,6.4-RC1,6.5-RC2,441,0
387,6.5-M1,6.5-RC2,220,2
388,6.3,6.4-RC3,1043,0
389,6.5-RC1,6.4-RC3,0,402
390,6.5-M2,6.4-RC3,0,336
391,6.4-RC1,6.4-RC3,24,0
392,6.4,6.4-RC3,0,11
393,6.5-M1,6.4-RC3,0,199
394,6.3-RC1,6.4-RC3,1101,0
395,6.3.0.18587,6.4-RC3,1091,0
396,6.3.1,6.4-RC3,1032,0
397,6.3-RC4,6.4-RC3,1051,0
398,6.3.2,6.4-RC3,1025,0
399,6.4-RC2,6.4-RC3,12,0
400,6.3.0.18401,6.4-RC3,1101,0
401,6.3.0.18800,6.4-RC3,1075,0
402,2.11,2.6,0,971
403,2.7,2.6,0,135
404,3.0,2.6,0,2141
405,2.13.1,2.6,0,1524
406,2.10.1,2.6,0,794
407,2.13,2.6,0,1521
408,2.8,2.6,0,407
409,2.14,2.6,0,1884
410,2.12,2.6,0,1235
411,2.10,2.6,0,791
412,2.9,2.6,0,603
413,4.5-RC1,4.4.1,7,895
414,4.4-RC2,4.4.1,52,0
415,4.3,4.4.1,1579,16
416,4.4-RC1,4.4.1,91,0
417,4.5,4.4.1,7,935
418,4.3.1,4.4.1,1579,22
419,4.3.3,4.4.1,1579,34
420,4.5-RC2,4.5.7,264,0
421,4.5.1-RC1,4.5.7,106,0
422,5.0-RC3,4.5.7,75,1138
423,4.5-RC3,4.5.7,245,0
424,5.0-RC2,4.5.7,75,1133
425,4.5.3,4.5.7,39,0
426,5.0-RC1,4.5.7,75,1122
427,4.5.6,4.5.7,7,0
428,4.5,4.5.7,242,0
429,4.5.5,4.5.7,36,0
430,4.5.1,4.5.7,98,0
431,5.0-RC4,4.5.7,75,1174
432,4.5.4,4.5.7,36,0
433,4.5.2,4.5.7,60,0
434,5.2-RC2,5.2-RC3,56,0
435,5.3-RC1,5.2-RC3,0,544
436,5.3-RC2,5.2-RC3,0,583
437,5.2,5.2-RC3,0,31
438,5.1.1,5.2-RC3,2834,0
439,5.1.2,5.2-RC3,2822,0
440,5.1,5.2-RC3,2841,0
441,5.0,5.2-RC3,4015,1
442,5.3,5.4-M11,294,0
443,5.4-M9,5.4-M11,73,0
444,5.4-M12,5.4-M11,0,61
445,5.4-M14,5.4-M11,0,114
446,5.4-M6,5.4-M11,138,0
447,5.4-M4,5.4-M11,193,0
448,5.4-M7,5.4-M11,133,0
449,5.4-M5,5.4-M11,153,0
450,5.4-M10,5.4-M11,37,0
451,5.4-RC1,5.4-M11,0,111
452,5.4-M13,5.4-M11,0,89
453,5.4-M8,5.4-M11,110,0
454,5.4-M2,5.4-M11,250,0
455,5.4-M3,5.4-M11,233,0
456,5.0,5.0-RC2,0,49
457,4.5,5.0-RC2,1300,0
458,5.0-RC3,5.0-RC2,0,5
459,4.5.3,5.0-RC2,1133,36
460,4.5.5,5.0-RC2,1133,39
461,4.5.1-RC1,5.0-RC2,1164,0
462,4.5.2,5.0-RC2,1133,15
463,4.5.1,5.0-RC2,1156,0
464,5.0.1,5.0-RC2,0,61
465,4.5.7,5.0-RC2,1133,75
466,5.0-RC4,5.0-RC2,0,41
467,5.0-RC1,5.0-RC2,11,0
468,4.5.4,5.0-RC2,1133,39
469,4.5.6,5.0-RC2,1133,68
470,5.3-RC2,5.3-RC1,1,40
471,5.2,5.3-RC1,513,0
472,5.0.1,5.3-RC1,4546,0
473,5.1,5.3-RC1,3385,0
474,5.2-RC3,5.3-RC1,544,0
475,5.3,5.3-RC1,1,49
476,5.3-RC3,5.3-RC1,1,47
477,5.2-RC1,5.3-RC1,604,0
478,5.1.2,5.3-RC1,3366,0
479,5.2-RC2,5.3-RC1,600,0
480,5.1-RC1,5.3-RC1,3436,0
481,5.1-RC2,5.3-RC1,3402,0
482,2.14,2.13.1,14,374
483,2.8,2.13.1,1117,0
484,2.7,2.13.1,1389,0
485,2.10.1,2.13.1,734,4
486,2.6,2.13.1,1524,0
487,2.13,2.13.1,3,0
488,2.11,2.13.1,559,6
489,2.10,2.13.1,734,1
490,2.12,2.13.1,289,0
491,6.5-M4,6.5-RC1,0,16
492,6.3.0.18587,6.5-RC1,1493,0
493,6.3.1,6.5-RC1,1434,0
494,6.3.2,6.5-RC1,1427,0
495,6.4-RC1,6.5-RC1,426,0
496,6.4-RC2,6.5-RC1,414,0
497,6.4-RC3,6.5-RC1,402,0
498,6.5,6.5-RC1,0,22
499,6.3.0.18800,6.5-RC1,1477,0
500,6.4,6.5-RC1,391,0
501,6.5-M1,6.5-RC1,205,2
502,6.5-M3,6.5-RC1,0,1
503,6.5-M2,6.5-RC1,66,0
504,6.5-RC2,6.5-RC1,0,15
505,6.3.0.18800,6.4-RC1,1051,0
506,6.3,6.4-RC1,1019,0
507,6.2,6.4-RC1,2034,0
508,6.4-RC2,6.4-RC1,0,12
509,6.3-RC1,6.4-RC1,1077,0
510,6.3.2,6.4-RC1,1001,0
511,6.4,6.4-RC1,0,35
512,6.3.0.18587,6.4-RC1,1067,0
513,6.5-M1,6.4-RC1,0,223
