,from_tag,to_tag,ahead_by,behind_by
722,6.0-RC1,5.6.5,68,450
723,5.5-RC1,5.6.5,514,0
724,5.6.1,5.6.5,66,0
725,5.6.3,5.6.5,28,0
726,5.6.2,5.6.5,41,0
727,5.5-RC2,5.6.5,450,0
728,6.2-RC1,6.2.1,86,0
729,6.3.0.18401,6.2.1,0,936
730,6.3,6.2.1,0,994
731,6.1.1,6.2.1,713,0
732,6.0,6.2.1,1309,0
733,6.1-RC1,6.2.1,745,0
734,6.3-RC1,6.2.1,0,936
735,6.0-RC2,6.2.1,1318,0
736,6.2,6.2.1,21,0
737,6.3-RC4,6.2.1,0,986
738,6.2-RC3,6.2.1,25,0
739,6.1-RC2,6.2.1,721,0
740,6.2-RC2,6.2.1,37,0
741,6.1,6.2.1,717,0
742,6.2-RC1,6.2,65,0
743,6.0-RC2,6.2,1297,0
744,6.0-RC1,6.2,1315,0
745,6.2-RC2,6.2,16,0
746,6.0,6.2,1288,0
747,6.3,6.2,0,1015
748,6.3-RC4,6.2,0,1007
749,6.3-RC1,6.2,0,957
750,6.1-RC2,6.2,700,0
751,6.2-RC3,6.2,4,0
752,6.1,6.2,696,0
753,6.1-RC1,6.2,724,0
754,6.2.1,6.2,0,21
755,6.1.1,6.2,692,0
756,5.6.7,5.6.4,0,24
757,5.6-RC2,5.6.4,94,0
758,5.5-M14,5.6.4,540,0
759,6.0-RC1,5.6.4,57,450
760,5.6.2,5.6.4,30,0
761,5.5,5.6.4,436,0
762,5.6.5,5.6.4,0,11
763,5.5-RC2,5.6.4,439,0
764,5.6.3,5.6.4,17,0
765,5.6.6,5.6.4,0,14
766,5.6.1,5.6.4,55,0
767,5.6,5.6.4,87,0
768,5.6-RC1,5.6.4,118,0
769,5.5-RC1,5.6.4,503,0
770,5.5-M7,5.5-M12,356,0
771,5.5-M14,5.5-M12,0,20
772,5.5-M3,5.5-M12,549,0
773,5.5-M2,5.5-M12,555,0
774,5.5-M13,5.5-M12,0,7
775,5.4,5.5-M12,601,0
776,5.5-M1,5.5-M12,587,0
777,5.5-M5,5.5-M12,494,0
778,5.5-M4,5.5-M12,521,0
779,5.5-M6,5.5-M12,380,0
780,5.5-M10,5.5-M12,234,0
781,5.5-RC2,5.5-M12,0,121
782,5.5-M11,5.5-M12,75,0
783,5.5-RC1,5.5-M12,0,57
784,3.2.1,3.0.1,10,730
785,2.7,3.0.1,2015,0
786,2.12,3.0.1,915,0
787,2.14,3.0.1,272,6
788,3.1,3.0.1,10,347
789,2.13.1,3.0.1,640,14
790,2.8,3.0.1,1743,0
791,2.11,3.0.1,1185,6
792,3.2,3.0.1,10,719
793,2.9,3.0.1,1547,0
794,2.6,3.0.1,2150,0
795,3.0,3.0.1,9,0
796,3.1.1,3.0.1,10,350
797,2.13,3.0.1,640,11
798,3.3,3.2.1,7,373
799,2.8,3.2.1,2463,0
800,2.9,3.2.1,2267,0
801,3.0.1,3.2.1,730,10
802,3.3.2,3.2.1,7,385
803,2.14,3.2.1,992,6
804,2.6,3.2.1,2870,0
805,3.3.1,3.2.1,7,381
806,2.7,3.2.1,2735,0
807,3.1.1,3.2.1,380,0
808,3.2,3.2.1,11,0
809,3.0,3.2.1,730,1
810,3.1,3.2.1,383,0
811,3.4,3.2.1,7,851
812,5.6.2,6.0-RC1,450,27
813,6.0,6.0-RC1,0,27
814,5.6.7,6.0-RC1,450,81
815,5.6,6.0-RC1,480,0
816,5.6-RC1,6.0-RC1,511,0
817,5.6.4,6.0-RC1,450,57
818,5.6.3,6.0-RC1,450,40
819,6.0-RC2,6.0-RC1,0,18
820,5.6.1,6.0-RC1,450,2
821,5.6-RC2,6.0-RC1,487,0
822,6.1-RC2,6.0-RC1,0,615
823,5.6.6,6.0-RC1,450,71
824,5.6.5,6.0-RC1,450,68
825,6.1-RC1,6.0-RC1,0,591
826,6.0-RC1,6.1.1,623,0
827,5.6.5,6.1.1,1038,33
828,6.0-RC2,6.1.1,605,0
829,6.2-RC3,6.1.1,0,688
830,6.2-RC2,6.1.1,0,676
831,6.0,6.1.1,596,0
832,5.6.6,6.1.1,1038,36
833,5.6.7,6.1.1,1038,46
834,6.2-RC1,6.1.1,0,627
835,6.2,6.1.1,0,692
836,6.1-RC1,6.1.1,32,0
837,6.1-RC2,6.1.1,8,0
838,6.1,6.1.1,4,0
839,5.6.4,6.1.1,1038,22
840,5.5-RC1,5.6.2,473,0
841,5.5-M12,5.6.2,530,0
842,5.5-RC2,5.6.2,409,0
843,5.6.3,5.6.2,0,13
844,5.6.6,5.6.2,0,44
845,5.5-M13,5.6.2,523,0
846,5.6.1,5.6.2,25,0
847,5.6-RC1,5.6.2,88,0
848,5.5-M14,5.6.2,510,0
849,5.6.4,5.6.2,0,30
850,5.6-RC2,5.6.2,64,0
851,5.6,5.6.2,57,0
852,5.5,5.6.2,406,0
853,5.6.5,5.6.2,0,41
854,5.5-M14,5.6.3,523,0
855,5.5-M13,5.6.3,536,0
856,5.5,5.6.3,419,0
857,5.5-RC1,5.6.3,486,0
858,5.6,5.6.3,70,0
859,5.6.2,5.6.3,13,0
860,5.6.4,5.6.3,0,17
861,5.6.1,5.6.3,38,0
862,5.6-RC1,5.6.3,101,0
863,5.6.7,5.6.3,0,41
864,5.5-RC2,5.6.3,422,0
865,5.6-RC2,5.6.3,77,0
866,5.6.6,5.6.3,0,31
867,5.6.5,5.6.3,0,28
868,5.6.5,6.2-RC1,1661,29
869,6.0-RC2,6.2-RC1,1232,0
870,6.1.1,6.2-RC1,627,0
871,6.2-RC3,6.2-RC1,0,61
872,6.1-RC2,6.2-RC1,635,0
873,6.2-RC2,6.2-RC1,0,49
874,6.2,6.2-RC1,0,65
875,6.1-RC1,6.2-RC1,659,0
876,6.0-RC1,6.2-RC1,1250,0
877,5.6.7,6.2-RC1,1661,42
878,6.1,6.2-RC1,631,0
879,6.0,6.2-RC1,1223,0
880,5.6.6,6.2-RC1,1661,32
881,6.2.1,6.2-RC1,0,86
882,6.0,6.0-RC2,0,9
883,6.1-RC2,6.0-RC2,0,597
884,5.6.3,6.0-RC2,468,40
885,6.1,6.0-RC2,0,601
886,5.6.1,6.0-RC2,468,2
887,5.6,6.0-RC2,498,0
888,5.6.6,6.0-RC2,468,71
889,5.6.5,6.0-RC2,468,68
890,5.6.7,6.0-RC2,468,81
891,5.6.2,6.0-RC2,468,27
892,6.0-RC1,6.0-RC2,18,0
893,5.6.4,6.0-RC2,468,57
894,5.6-RC2,6.0-RC2,505,0
895,6.1-RC1,6.0-RC2,0,573
896,3.3.1,3.3,0,8
897,3.1.1,3.3,746,0
898,2.6,3.3,3236,0
899,2.9,3.3,2633,0
900,3.4.1,3.3,9,491
901,2.7,3.3,3101,0
902,3.2,3.3,377,0
903,3.2.1,3.3,373,7
904,2.8,3.3,2829,0
905,3.1,3.3,749,0
906,3.0.1,3.3,1096,10
907,3.4,3.3,9,487
908,3.0,3.3,1096,1
909,3.3.2,3.3,0,12
910,2.14,3.2,981,6
911,3.2.1,3.2,0,11
912,2.7,3.2,2724,0
913,3.1.1,3.2,369,0
914,3.3.2,3.2,0,389
915,3.3,3.2,0,377
916,2.9,3.2,2256,0
917,2.8,3.2,2452,0
918,3.1,3.2,372,0
919,3.0,3.2,719,1
920,3.3.1,3.2,0,385
921,2.13.1,3.2,1349,14
922,3.0.1,3.2,719,10
923,2.6,3.2,2859,0
924,3.7.1,3.7.1-RC1-,2,81
925,3.7.2,3.7.1-RC1-,2,88
926,3.7,3.7.1-RC1-,198,14
927,3.3.2,3.7.1-RC1-,2590,21
928,3.4.1,3.7.1-RC1-,2103,4
929,3.4,3.7.1-RC1-,2103,0
930,3.6.2,3.7.1-RC1-,702,65
931,3.5,3.7.1-RC1-,1643,1
932,3.6.3,3.7.1-RC1-,702,70
933,3.7.4,3.7.1-RC1-,2,97
934,4.0,3.7.1-RC1-,2,549
935,3.6,3.7.1-RC1-,702,49
936,3.6.1,3.7.1-RC1-,702,62
937,3.5.1,3.7.1-RC1-,1643,5
938,5.6.7,6.2-RC3,1708,28
939,6.0,6.2-RC3,1284,0
940,6.1.1,6.2-RC3,688,0
941,6.3-RC1,6.2-RC3,0,961
942,6.1,6.2-RC3,692,0
943,6.3-RC4,6.2-RC3,0,1011
944,6.2,6.2-RC3,0,4
945,6.2.1,6.2-RC3,0,25
946,6.2-RC1,6.2-RC3,61,0
947,6.0-RC1,6.2-RC3,1311,0
948,6.2-RC2,6.2-RC3,12,0
949,6.0-RC2,6.2-RC3,1293,0
950,6.1-RC2,6.2-RC3,696,0
951,6.1-RC1,6.2-RC3,720,0
952,6.1-RC2,6.1-RC1,0,24
953,5.6.3,6.1-RC1,1016,15
954,6.0-RC2,6.1-RC1,573,0
955,5.6.6,6.1-RC1,1016,46
956,6.1,6.1-RC1,0,28
957,5.6.5,6.1-RC1,1016,43
958,6.2-RC1,6.1-RC1,0,659
959,5.6.7,6.1-RC1,1016,56
960,5.6.2,6.1-RC1,1016,2
961,6.1.1,6.1-RC1,0,32
962,5.6.4,6.1-RC1,1016,32
963,5.6.1,6.1-RC1,1039,0
964,6.0-RC1,6.1-RC1,591,0
965,6.0,6.1-RC1,564,0
966,5.6.5,6.0,472,63
967,6.1,6.0,0,592
968,5.6.6,6.0,472,66
969,5.6.4,6.0,472,52
970,5.6.7,6.0,472,76
971,5.6.3,6.0,472,35
972,5.6.1,6.0,475,0
973,6.1-RC1,6.0,0,564
974,6.1.1,6.0,0,596
975,6.0-RC2,6.0,9,0
976,5.6.2,6.0,472,22
977,6.0-RC1,6.0,27,0
978,6.1-RC2,6.0,0,588
979,5.6,6.0,507,0
980,6.0-RC2,6.2-RC2,1281,0
981,6.2.1,6.2-RC2,0,37
982,6.1,6.2-RC2,680,0
983,6.1.1,6.2-RC2,676,0
984,6.2-RC1,6.2-RC2,49,0
985,6.0,6.2-RC2,1272,0
986,6.2-RC3,6.2-RC2,0,12
987,6.0-RC1,6.2-RC2,1299,0
988,6.1-RC2,6.2-RC2,684,0
989,6.1-RC1,6.2-RC2,708,0
990,5.6.7,6.2-RC2,1699,31
991,5.6.6,6.2-RC2,1699,21
992,6.3-RC1,6.2-RC2,0,973
993,6.2,6.2-RC2,0,16
994,3.4.1,3.7,1919,4
995,3.5.1,3.7,1459,5
996,3.7.1-RC1-,3.7,14,198
997,3.6.3,3.7,518,70
998,3.7.1,3.7,0,263
999,3.3.1,3.7,2406,17
1000,3.7.2,3.7,0,270
1001,3.6,3.7,518,49
1002,3.3.2,3.7,2406,21
1003,3.7.4,3.7,0,279
1004,3.6.1,3.7,518,62
1005,3.5,3.7,1459,1
1006,3.4,3.7,1919,0
1007,3.6.2,3.7,518,65
1008,3.2,3.1.1,0,369
1009,3.0,3.1.1,350,1
1010,2.8,3.1.1,2083,0
1011,3.0.1,3.1.1,350,10
1012,2.7,3.1.1,2355,0
1013,2.13,3.1.1,980,11
1014,3.3.1,3.1.1,0,754
1015,2.13.1,3.1.1,980,14
1016,3.3,3.1.1,0,746
1017,3.2.1,3.1.1,0,380
1018,3.1,3.1.1,3,0
1019,2.14,3.1.1,612,6
1020,2.9,3.1.1,1887,0
1021,2.6,3.1.1,2490,0
1022,2.8,3.3.2,2841,0
1023,3.4,3.3.2,21,487
1024,3.2,3.3.2,389,0
1025,2.9,3.3.2,2645,0
1026,3.0,3.3.2,1108,1
1027,3.0.1,3.3.2,1108,10
1028,3.5,3.3.2,21,948
1029,3.2.1,3.3.2,385,7
1030,3.1,3.3.2,761,0
1031,3.5.1,3.3.2,21,952
1032,3.1.1,3.3.2,758,0
1033,3.3,3.3.2,12,0
1034,3.3.1,3.3.2,4,0
1035,3.4.1,3.3.2,21,491
1036,3.4,3.6.1,1463,0
1037,3.7,3.6.1,62,518
1038,3.4.1,3.6.1,1463,4
1039,3.6,3.6.1,13,0
1040,3.5.1,3.6.1,1003,5
1041,3.2.1,3.6.1,2314,7
1042,3.3.2,3.6.1,1950,21
1043,3.6.2,3.6.1,0,3
1044,3.3.1,3.6.1,1950,17
1045,3.2,3.6.1,2318,0
1046,3.7.1-RC1-,3.6.1,62,702
1047,3.3,3.6.1,1950,9
1048,3.6.3,3.6.1,0,8
1049,3.5,3.6.1,1003,1
1050,3.7.4,3.7.2,0,9
1051,3.5,3.7.2,1729,1
1052,3.4.1,3.7.2,2189,4
1053,3.6.3,3.7.2,788,70
1054,4.0,3.7.2,49,510
1055,4.1-RC1,3.7.2,49,887
1056,3.7,3.7.2,270,0
1057,3.6,3.7.2,788,49
1058,3.6.1,3.7.2,788,62
1059,4.1-RC2,3.7.2,49,892
1060,3.7.1,3.7.2,7,0
1061,3.6.2,3.7.2,788,65
1062,3.7.1-RC1-,3.7.2,88,2
1063,3.5.1,3.7.2,1729,5
1064,5.6.2,5.6.1,0,25
1065,5.6.5,5.6.1,0,66
1066,5.5,5.6.1,381,0
1067,5.5-M11,5.6.1,580,0
1068,5.6-RC1,5.6.1,63,0
1069,5.5-M13,5.6.1,498,0
1070,5.6,5.6.1,32,0
1071,5.5-RC2,5.6.1,384,0
1072,5.6.3,5.6.1,0,38
1073,5.5-M14,5.6.1,485,0
1074,5.6.4,5.6.1,0,55
1075,5.5-RC1,5.6.1,448,0
1076,5.6-RC2,5.6.1,39,0
1077,5.5-M12,5.6.1,505,0
1078,5.5-M1,5.5-M5,93,0
1079,5.4,5.5-M5,118,11
1080,5.4-RC3,5.5-M5,118,1
1081,5.5-M6,5.5-M5,0,114
1082,5.5-M7,5.5-M5,0,138
1083,5.5-M11,5.5-M5,0,419
1084,5.5-M3,5.5-M5,55,0
1085,5.5-M10,5.5-M5,0,260
1086,5.5-M2,5.5-M5,61,0
1087,5.5-M4,5.5-M5,27,0
1088,5.4-RC1,5.5-M4,113,0
1089,5.5-M6,5.5-M4,0,141
1090,5.4,5.5-M4,97,17
1091,5.4-RC2,5.5-M4,101,0
1092,5.4-RC3,5.5-M4,97,7
1093,5.5-M3,5.5-M4,28,0
1094,5.5-M1,5.5-M4,66,0
1095,5.5-M10,5.5-M4,0,287
1096,5.4-RC4,5.5-M4,97,14
1097,5.5-M2,5.5-M4,34,0
1098,5.4-M1,5.5-M4,110,0
1099,5.5-M5,5.5-M4,0,27
1100,5.5-M7,5.5-M4,0,165
1101,5.4-M14,5.5-M4,110,0
1102,5.5-M11,5.6,548,0
1103,5.6.2,5.6,0,57
1104,5.5-M13,5.6,466,0
1105,5.6-RC1,5.6,31,0
1106,5.6-RC2,5.6,7,0
1107,5.5-M14,5.6,453,0
1108,5.5,5.6,349,0
1109,5.6.3,5.6,0,70
1110,5.6.4,5.6,0,87
1111,5.5-RC1,5.6,416,0
1112,5.5-M12,5.6,473,0
1113,5.5-RC2,5.6,352,0
1114,5.6.1,5.6,0,32
1115,5.5-M10,5.6,707,0
1116,3.6.2,3.7.1,781,65
1117,3.5.1,3.7.1,1722,5
1118,3.6.3,3.7.1,781,70
1119,3.7.1-RC1-,3.7.1,81,2
1120,3.7,3.7.1,263,0
1121,3.7.4,3.7.1,0,16
1122,4.1-RC1,3.7.1,42,887
1123,3.6.1,3.7.1,781,62
1124,4.0,3.7.1,42,510
1125,3.4.1,3.7.1,2182,4
1126,3.4,3.7.1,2182,0
1127,3.6,3.7.1,781,49
1128,3.5,3.7.1,1722,1
1129,3.7.2,3.7.1,0,7
1130,3.6.3,3.6,0,21
1131,3.6.2,3.6,0,16
1132,3.2.1,3.6,2301,7
1133,3.7,3.6,49,518
1134,3.5,3.6,990,1
1135,3.3,3.6,1937,9
1136,3.6.1,3.6,0,13
1137,3.4.1,3.6,1450,4
1138,3.5.1,3.6,990,5
1139,3.3.1,3.6,1937,17
1140,3.4,3.6,1450,0
1141,3.2,3.6,2305,0
1142,3.1.1,3.6,2674,0
1143,3.3.2,3.6,1937,21
1144,3.4,3.3.1,17,487
1145,3.3.2,3.3.1,0,4
1146,3.0,3.3.1,1104,1
1147,3.4.1,3.3.1,17,491
1148,3.5,3.3.1,17,948
1149,3.2,3.3.1,385,0
1150,2.7,3.3.1,3109,0
1151,3.0.1,3.3.1,1104,10
1152,3.2.1,3.3.1,381,7
1153,3.1,3.3.1,757,0
1154,3.3,3.3.1,8,0
1155,2.9,3.3.1,2641,0
1156,2.8,3.3.1,2837,0
1157,3.1.1,3.3.1,754,0
1158,4.1-RC2,3.7.4,58,892
1159,4.1,3.7.4,58,924
1160,3.6.2,3.7.4,797,65
1161,3.6.3,3.7.4,797,70
1162,3.5,3.7.4,1738,1
1163,3.7,3.7.4,279,0
1164,3.7.1,3.7.4,16,0
1165,3.7.2,3.7.4,9,0
1166,3.6,3.7.4,797,49
1167,3.6.1,3.7.4,797,62
1168,3.7.1-RC1-,3.7.4,97,2
1169,3.5.1,3.7.4,1738,5
1170,4.1-RC1,3.7.4,58,887
1171,4.0,3.7.4,58,510
1172,3.7.1-RC1-,3.6.2,65,702
1173,3.4,3.6.2,1466,0
1174,3.6.1,3.6.2,3,0
1175,3.3,3.6.2,1953,9
1176,3.4.1,3.6.2,1466,4
1177,3.3.2,3.6.2,1953,21
1178,3.2.1,3.6.2,2317,7
1179,3.3.1,3.6.2,1953,17
1180,3.7.1,3.6.2,65,781
1181,3.5,3.6.2,1006,1
1182,3.6.3,3.6.2,0,5
1183,3.5.1,3.6.2,1006,5
1184,3.7,3.6.2,65,518
1185,3.6,3.6.2,16,0
1186,5.6.7,6.1-RC2,1030,46
1187,6.2-RC2,6.1-RC2,0,684
1188,6.2-RC1,6.1-RC2,0,635
1189,6.0-RC1,6.1-RC2,615,0
1190,5.6.2,6.1-RC2,1038,0
1191,5.6.6,6.1-RC2,1030,36
1192,6.0-RC2,6.1-RC2,597,0
1193,5.6.5,6.1-RC2,1030,33
1194,6.1-RC1,6.1-RC2,24,0
1195,6.1,6.1-RC2,0,4
1196,5.6.3,6.1-RC2,1030,5
1197,6.1.1,6.1-RC2,0,8
1198,5.6.4,6.1-RC2,1030,22
1199,6.0,6.1-RC2,588,0
1200,5.4,5.5-M2,66,20
1201,5.5-M5,5.5-M2,0,61
1202,5.4-M13,5.5-M2,101,0
1203,5.4-RC3,5.5-M2,66,10
1204,5.4-RC1,5.5-M2,79,0
1205,5.4-M12,5.5-M2,129,0
1206,5.4-RC2,5.5-M2,67,0
1207,5.5-M4,5.5-M2,0,34
1208,5.4-M1,5.5-M2,76,0
1209,5.4-M14,5.5-M2,76,0
1210,5.4-RC4,5.5-M2,66,17
1211,5.5-M6,5.5-M2,0,175
1212,5.5-M1,5.5-M2,32,0
1213,5.5-M3,5.5-M2,0,6
1214,5.5-M14,5.6-RC1,422,0
1215,5.5,5.6-RC1,318,0
1216,5.6.2,5.6-RC1,0,88
1217,5.6-RC2,5.6-RC1,0,24
1218,5.5-M7,5.6-RC1,798,0
1219,5.5-M13,5.6-RC1,435,0
1220,5.5-M11,5.6-RC1,517,0
1221,5.5-RC2,5.6-RC1,321,0
1222,5.5-RC1,5.6-RC1,385,0
1223,5.6,5.6-RC1,0,31
1224,5.5-M6,5.6-RC1,822,0
1225,5.6.1,5.6-RC1,0,63
1226,5.5-M10,5.6-RC1,676,0
1227,5.5-M12,5.6-RC1,442,0
1228,5.5-RC1,5.6-RC2,409,0
1229,5.6.3,5.6-RC2,0,77
1230,5.6.1,5.6-RC2,0,39
1231,5.5-RC2,5.6-RC2,345,0
1232,5.5,5.6-RC2,342,0
1233,5.5-M12,5.6-RC2,466,0
1234,5.6,5.6-RC2,0,7
1235,5.6-RC1,5.6-RC2,24,0
1236,5.5-M10,5.6-RC2,700,0
1237,5.6.2,5.6-RC2,0,64
1238,5.5-M11,5.6-RC2,541,0
1239,5.5-M7,5.6-RC2,822,0
1240,5.5-M14,5.6-RC2,446,0
1241,5.5-M13,5.6-RC2,459,0
1242,5.4,5.5-M3,71,19
1243,5.4-RC4,5.5-M3,71,16
1244,5.5-M1,5.5-M3,38,0
1245,5.4-M14,5.5-M3,82,0
1246,5.5-M2,5.5-M3,6,0
1247,5.4-RC2,5.5-M3,73,0
1248,5.5-M7,5.5-M3,0,193
1249,5.5-M6,5.5-M3,0,169
1250,5.4-M13,5.5-M3,107,0
1251,5.4-RC1,5.5-M3,85,0
1252,5.4-RC3,5.5-M3,71,9
1253,5.5-M4,5.5-M3,0,28
1254,5.4-M1,5.5-M3,82,0
1255,5.5-M5,5.5-M3,0,55
1256,5.6.3,6.1,1034,5
1257,6.2-RC3,6.1,0,692
1258,6.2-RC1,6.1,0,631
1259,6.0,6.1,592,0
1260,5.6.4,6.1,1034,22
1261,5.6.5,6.1,1034,33
1262,6.0-RC2,6.1,601,0
1263,6.2-RC2,6.1,0,680
1264,6.1-RC1,6.1,28,0
1265,5.6.6,6.1,1034,36
1266,6.1.1,6.1,0,4
1267,6.0-RC1,6.1,619,0
1268,5.6.7,6.1,1034,46
1269,6.1-RC2,6.1,4,0
1270,3.7,3.6.3,70,518
1271,3.5,3.6.3,1011,1
1272,3.7.1-RC1-,3.6.3,70,702
1273,3.3.1,3.6.3,1958,17
1274,3.3,3.6.3,1958,9
1275,3.7.2,3.6.3,70,788
1276,3.6.1,3.6.3,8,0
1277,3.4,3.6.3,1471,0
1278,3.5.1,3.6.3,1011,5
1279,3.6,3.6.3,21,0
1280,3.3.2,3.6.3,1958,21
1281,3.4.1,3.6.3,1471,4
1282,3.6.2,3.6.3,5,0
1283,3.7.1,3.6.3,70,781
1284,4.1-RC1,4.0,30,407
1285,3.5.1,4.0,2190,5
1286,3.6.2,4.0,1249,65
1287,3.7.4,4.0,510,58
1288,4.1.1,4.0,30,450
1289,3.7.1-RC1-,4.0,549,2
1290,3.6.3,4.0,1249,70
1291,3.6.1,4.0,1249,62
1292,4.1-RC2,4.0,30,412
1293,4.1,4.0,30,444
1294,3.7.1,4.0,510,42
1295,3.7.2,4.0,510,49
1296,3.7,4.0,745,14
1297,3.6,4.0,1249,49
1298,3.7,4.1.1,1165,14
1299,3.6.3,4.1.1,1669,70
1300,4.3.1,4.1.1,47,1767
1301,4.2,4.1.1,47,1076
1302,4.0,4.1.1,450,30
1303,3.7.4,4.1.1,930,58
1304,3.7.1,4.1.1,930,42
1305,4.1.2,4.1.1,0,3
1306,4.1-RC1,4.1.1,46,3
1307,3.7.2,4.1.1,930,49
1308,4.3,4.1.1,47,1761
1309,3.7.1-RC1-,4.1.1,969,2
1310,4.1,4.1.1,6,0
1311,4.1-RC2,4.1.1,44,6
1312,3.5,3.5.1,4,0
1313,3.6,3.5.1,5,990
1314,3.6.2,3.5.1,5,1006
1315,3.1.1,3.5.1,1689,0
1316,3.4,3.5.1,465,0
1317,3.6.1,3.5.1,5,1003
1318,3.3.2,3.5.1,952,21
1319,3.6.3,3.5.1,5,1011
1320,3.3.1,3.5.1,952,17
1321,3.4.1,3.5.1,465,4
1322,3.3,3.5.1,952,9
1323,3.2,3.5.1,1320,0
1324,3.1,3.5.1,1692,0
1325,3.2.1,3.5.1,1316,7
1326,5.4-RC4,5.5-M7,249,1
1327,5.5-M6,5.5-M7,24,0
1328,5.4,5.5-M7,249,4
1329,5.5-M2,5.5-M7,199,0
1330,5.5-M10,5.5-M7,0,122
1331,5.5-M4,5.5-M7,165,0
1332,5.4-RC2,5.5-M7,266,0
1333,5.4-RC3,5.5-M7,255,0
1334,5.5-M12,5.5-M7,0,356
1335,5.5-M13,5.5-M7,0,363
1336,5.5-M11,5.5-M7,0,281
1337,5.5-M1,5.5-M7,231,0
1338,5.5-M3,5.5-M7,193,0
1339,5.5-M5,5.5-M7,138,0
1340,5.5-RC2,5.5-RC1,0,64
1341,5.5-M11,5.5-RC1,132,0
1342,5.5-M6,5.5-RC1,437,0
1343,5.5-M14,5.5-RC1,37,0
1344,5.5-M4,5.5-RC1,578,0
1345,5.6-RC2,5.5-RC1,0,409
1346,5.5-M10,5.5-RC1,291,0
1347,5.5-M7,5.5-RC1,413,0
1348,5.5-M12,5.5-RC1,57,0
1349,5.5,5.5-RC1,0,67
1350,5.6-RC1,5.5-RC1,0,385
1351,5.5-M5,5.5-RC1,551,0
1352,5.5-M13,5.5-RC1,50,0
1353,5.5-M3,5.5-RC1,606,0
1354,6.1,6.3.0.18401,1653,0
1355,6.1.1,6.3.0.18401,1649,0
1356,6.3-RC4,6.3.0.18401,0,50
1357,6.2.1,6.3.0.18401,936,0
1358,6.2,6.3.0.18401,957,0
1359,6.3.0.18587,6.3.0.18401,0,10
1360,6.2-RC3,6.3.0.18401,961,0
1361,6.3.2,6.3.0.18401,0,76
1362,6.2-RC1,6.3.0.18401,1022,0
1363,6.3,6.3.0.18401,0,58
1364,6.3.1,6.3.0.18401,0,69
1365,6.3-RC1,6.3.0.18401,0,0
1366,6.2-RC2,6.3.0.18401,973,0
1367,6.3.0.18800,6.3.0.18401,0,26
1368,6.2.1,6.3,994,0
1369,6.1,6.3,1711,0
1370,6.3-RC4,6.3,8,0
1371,6.2-RC3,6.3,1019,0
1372,6.3.0.18587,6.3,48,0
1373,6.3-RC1,6.3,58,0
1374,6.3.0.18401,6.3,58,0
1375,6.2-RC2,6.3,1031,0
1376,6.3.0.18800,6.3,32,0
1377,6.2-RC1,6.3,1080,0
1378,6.1-RC2,6.3,1715,0
1379,6.2,6.3,1015,0
1380,6.3.1,6.3,0,11
1381,6.1.1,6.3,1707,0
1382,5.5,5.5-M14,0,104
1383,5.5-M11,5.5-M14,95,0
1384,5.5-M2,5.5-M14,575,0
1385,5.5-M5,5.5-M14,514,0
1386,5.5-RC1,5.5-M14,0,37
1387,5.5-M3,5.5-M14,569,0
1388,5.5-M7,5.5-M14,376,0
1389,5.5-M10,5.5-M14,254,0
1390,5.5-M12,5.5-M14,20,0
1391,5.5-M13,5.5-M14,13,0
1392,5.5-M6,5.5-M14,400,0
1393,5.5-M7,5.5-M6,0,24
1394,5.5-M12,5.5-M6,0,380
1395,5.5-M10,5.5-M6,0,146
1396,5.5-M4,5.5-M6,141,0
1397,5.5-M11,5.5-M6,0,305
1398,5.4-M1,5.5-M6,251,0
1399,5.5-M5,5.5-M6,114,0
1400,5.4-RC4,5.5-M6,229,5
1401,5.5-M2,5.5-M6,175,0
1402,5.4-RC3,5.5-M6,231,0
1403,5.5-M3,5.5-M6,169,0
1404,5.4,5.5-M6,229,8
1405,5.4-RC2,5.5-M6,242,0
1406,5.5-M1,5.5-M6,207,0
1407,3.1.1,3.5,1685,0
1408,3.2.1,3.5,1312,7
1409,3.4,3.5,461,0
1410,3.5.1,3.5,0,4
1411,3.0.1,3.5,2035,10
1412,3.4.1,3.5,461,4
1413,3.3.2,3.5,948,21
1414,3.6.2,3.5,1,1006
1415,3.3,3.5,948,9
1416,3.6.1,3.5,1,1003
1417,3.3.1,3.5,948,17
1418,3.1,3.5,1688,0
1419,3.2,3.5,1316,0
1420,3.6,3.5,1,990
1421,4.2,4.1,41,1076
1422,4.1-RC2,4.1,38,6
1423,4.3,4.1,41,1761
1424,3.7.1,4.1,924,42
1425,3.6.3,4.1,1663,70
1426,3.7.4,4.1,924,58
1427,3.7,4.1,1159,14
1428,4.1.1,4.1,0,6
1429,4.0,4.1,444,30
1430,4.1-RC1,4.1,40,3
1431,3.7.1-RC1-,4.1,963,2
1432,3.7.2,4.1,924,49
1433,3.6.2,4.1,1663,65
1434,4.1.2,4.1,0,9
1435,3.6,3.4,0,1450
1436,3.5,3.4,0,461
1437,3.3.2,3.4,487,21
1438,3.5.1,3.4,0,465
1439,3.2.1,3.4,851,7
1440,3.3.1,3.4,487,17
1441,3.3,3.4,487,9
1442,3.0,3.4,1574,1
1443,3.2,3.4,855,0
1444,3.1,3.4,1227,0
1445,3.4.1,3.4,0,4
1446,2.9,3.4,3111,0
1447,3.1.1,3.4,1224,0
1448,3.0.1,3.4,1574,10
1449,3.7,4.1-RC1,1122,14
1450,3.6.2,4.1-RC1,1626,65
