tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
,,55004382,,java,broken,3,java-ant,"",false,,,,,,,,,"",,101
,,55004383,,java,broken,3,java-ant,"",false,,,,,,,,,"",,69
,,55004385,,java,broken,0,java-ant,"",false,,,,,,,,,"",,82
,,55004386,,java,broken,0,java-ant,"",false,,,,,,,,,"",,61
,,55004653,,java,broken,3,java-ant,"",false,,,,,,,,,"",,101
,,55004654,,java,broken,9,java-ant,"",false,,,,,,,,,"",,64
,,55010514,,java,broken,6,java-ant,"",false,,,,,,,,,"",,100
,,55010515,,java,broken,3,java-ant,"",false,,,,,,,,,"",,67
,,55010568,,java,broken,0,java-ant,"",false,,,,,,,,,"",,103
,,55010569,,java,broken,0,java-ant,"",false,,,,,,,,,"",,72
,,55011371,,java,broken,3,java-ant,"",false,,,,,,,,,"",,105
,,55011372,,java,broken,3,java-ant,"",false,,,,,,,,,"",,69
,,55016678,,java,broken,3,java-ant,"",false,,,,,,,,,"",,122
,,55016679,,java,broken,3,java-ant,"",false,,,,,,,,,"",,65
,,55019590,,java,broken,3,java-ant,"",false,,,,,,,,,"",,83
,,55019591,,java,broken,3,java-ant,"",false,,,,,,,,,"",,75
,,55019903,,java,broken,0,java-ant,"",false,,,,,,,,,"",,102
,,55019904,,java,broken,0,java-ant,"",false,,,,,,,,,"",,67
,,55019955,,java,broken,3,java-ant,"",false,,,,,,,,,"",,103
,,55019956,,java,broken,3,java-ant,"",false,,,,,,,,,"",,57.55
,,55020900,,java,broken,3,java-ant,"",false,,,,,,,,,"",,80
,,55020901,,java,broken,3,java-ant,"",false,,,,,,,,,"",,61
,,55020903,,java,broken,0,java-ant,"",false,,,,,,,,,"",,83
,,55020904,,java,broken,0,java-ant,"",false,,,,,,,,,"",,60
,,55022601,,java,broken,3,java-ant,"",false,,,,,,,,,"",,96
,,55022602,,java,broken,3,java-ant,"",false,,,,,,,,,"",,70
,,55022608,,java,broken,0,java-ant,"",false,,,,,,,,,"",,92
,,55022609,,java,broken,0,java-ant,"",false,,,,,,,,,"",,80
,,55023716,,java,broken,3,java-ant,"",false,,,,,,,,,"",,94
,,55023717,,java,broken,3,java-ant,"",false,,,,,,,,,"",,62
,,55026018,,java,broken,3,java-ant,"",false,,,,,,,,,"",,86
,,55026019,,java,broken,3,java-ant,"",false,,,,,,,,,"",,80
,,55026790,,java,broken,3,java-ant,"",false,,,,,,,,,"",,29.28
,,55026791,,java,broken,3,java-ant,"",false,,,,,,,,,"",,84
,,55027891,,java,broken,3,java-ant,"",false,,,,,,,,,"",,87
,,55027892,,java,broken,3,java-ant,"",false,,,,,,,,,"",,75
,,55030178,,java,broken,4,java-ant,"",false,,,,,,,,,"",,134
,,55030179,,java,broken,3,java-ant,"",false,,,,,,,,,"",,61
,,55030245,,java,broken,3,java-ant,"",false,,,,,,,,,"",,91
,,55030246,,java,broken,3,java-ant,"",false,,,,,,,,,"",,60
,,55034122,,java,broken,3,java-ant,"",false,,,,,,,,,"",,86
,,55034123,,java,broken,3,java-ant,"",false,,,,,,,,,"",,68
,,55037081,,java,broken,3,java-ant,"",false,,,,,,,,,"",,102
,,55037082,,java,broken,3,java-ant,"",false,,,,,,,,,"",,68
,,55037089,,java,broken,0,java-ant,"",false,,,,,,,,,"",,103
,,55037090,,java,broken,0,java-ant,"",false,,,,,,,,,"",,60
,,55037099,,java,broken,4,java-ant,"",false,,,,,,,,,"",,114
,,55037100,,java,broken,4,java-ant,"",false,,,,,,,,,"",,70
,,55038099,,java,broken,5,java-ant,"",false,,,,,,,,,"",,122
,,55038100,,java,broken,4,java-ant,"",false,,,,,,,,,"",,66
,,55038641,,java,broken,4,java-ant,"",false,,,,,,,,,"",,96
,,55038642,,java,broken,3,java-ant,"",false,,,,,,,,,"",,57.38
,,55039586,,java,broken,3,java-ant,"",false,,,,,,,,,"",,85
,,55039587,,java,broken,3,java-ant,"",false,,,,,,,,,"",,75
,,55044455,,java,broken,3,java-ant,"",false,,,,,,,,,"",,86
,,55044456,,java,broken,3,java-ant,"",false,,,,,,,,,"",,58.46
,,55044540,,java,broken,4,java-ant,"",false,,,,,,,,,"",,91
,,55044541,,java,broken,4,java-ant,"",false,,,,,,,,,"",,55.99
,,55045308,,java,broken,5,java-ant,"",false,,,,,,,,,"",,89
,,55045309,,java,broken,3,java-ant,"",false,,,,,,,,,"",,56.81
,,55047249,,java,broken,4,java-ant,"",false,,,,,,,,,"",,82
,,55047250,,java,broken,3,java-ant,"",false,,,,,,,,,"",,59.15
,,55048891,,java,broken,3,java-ant,"",false,,,,,,,,,"",,91
,,55048892,,java,broken,4,java-ant,"",false,,,,,,,,,"",,56.69
,,55048898,,java,broken,0,java-ant,"",false,,,,,,,,,"",,85
,,55048899,,java,broken,0,java-ant,"",false,,,,,,,,,"",,57.16
,,55049545,,java,broken,4,java-ant,"",false,,,,,,,,,"",,76
,,55049546,,java,broken,3,java-ant,"",false,,,,,,,,,"",,70
,,55049657,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,55049658,,java,broken,3,java-ant,"",false,,,,,,,,,"",,69
,,55055222,,java,broken,4,java-ant,"",false,,,,,,,,,"",,117
,,55055227,,java,broken,4,java-ant,"",false,,,,,,,,,"",,66
,,55055255,,java,broken,0,java-ant,"",false,,,,,,,,,"",,89
,,55055256,,java,broken,0,java-ant,"",false,,,,,,,,,"",,60
,,55055917,,java,broken,3,java-ant,"",false,,,,,,,,,"",,113
,,55055918,,java,broken,3,java-ant,"",false,,,,,,,,,"",,72
,,55056058,,java,broken,3,java-ant,"",false,,,,,,,,,"",,82
,,55056059,,java,broken,3,java-ant,"",false,,,,,,,,,"",,66
,,55056978,,java,broken,0,java-ant,"",false,,,,,,,,,"",,111
,,55056979,,java,broken,0,java-ant,"",false,,,,,,,,,"",,66
,,55061314,,java,broken,4,java-ant,"",false,,,,,,,,,"",,90
,,55061315,,java,broken,3,java-ant,"",false,,,,,,,,,"",,58.8
,,55064679,,java,broken,4,java-ant,"",false,,,,,,,,,"",,114
,,55064680,,java,broken,3,java-ant,"",false,,,,,,,,,"",,59.1
,,55066356,,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
,,55066357,,java,unknown,3,java-ant,"",false,,,,,,,,,"",,
,,55066535,,java,broken,3,java-ant,"",false,,,,,,,,,"",,94
,,55066536,,java,broken,3,java-ant,"",false,,,,,,,,,"",,78
,,55066620,,java,broken,0,java-ant,"",false,,,,,,,,,"",,82
,,55066621,,java,broken,0,java-ant,"",false,,,,,,,,,"",,68
,,55069730,,java,broken,4,java-ant,"",false,,,,,,,,,"",,197
,,55069731,,java,broken,4,java-ant,"",false,,,,,,,,,"",,101
,,55069742,,java,broken,0,java-ant,"",false,,,,,,,,,"",,145
,,55069743,,java,broken,0,java-ant,"",false,,,,,,,,,"",,101
,,55076542,,java,broken,4,java-ant,"",false,,,,,,,,,"",,122
,,55076543,,java,broken,4,java-ant,"",false,,,,,,,,,"",,84
,,55076545,,java,broken,0,java-ant,"",false,,,,,,,,,"",,158
,,55076546,,java,broken,0,java-ant,"",false,,,,,,,,,"",,81
,,55080338,,java,broken,3,java-ant,"",false,,,,,,,,,"",,89
,,55080339,,java,broken,4,java-ant,"",false,,,,,,,,,"",,56.26
,,55096086,,java,broken,3,java-ant,"",false,,,,,,,,,"",,171
,,55096092,,java,broken,0,java-ant,"",false,,,,,,,,,"",,165
,,55097886,,java,broken,3,java-ant,"",false,,,,,,,,,"",,424
,,55097890,,java,broken,0,java-ant,"",false,,,,,,,,,"",,549
,,55101447,,java,broken,4,java-ant,"",false,,,,,,,,,"",,511
