,from_tag,from_author_date,ahead_by,behind_by,from_sha,to_sha,to_tag,to_author_date,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days,n_jobs,n_builds,n_merge_jobs,n_pull_request_jobs,Tag,jira_version,version_name,post_release_bugs,pre_release_bugs,pre_release_after_tagging_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
42,5.5-M10,2016-03-14 13:09:03,159,0,63e3178d2c454d17a7c507a0efca93770be40d41,c5be77384198f6dd7de51a6d275dd1b5ae036daa,5.5-M11,2016-03-25 09:46:57,159,10 days 20:37:54,10.859652777777775,2016-03-14 14:09:03,2016-03-25 15:02:45,11 days 00:53:42,11.037291666666668,819,117,0,553,,,,,,,,,,
43,5.5-M11,2016-03-25 09:46:57,75,0,c5be77384198f6dd7de51a6d275dd1b5ae036daa,4aa44f864269fb77e1e57c54e15ba913359d383d,5.5-M12,2016-03-31 14:29:42,75,6 days 04:42:45,6.1963541666666675,2016-03-25 15:02:45,2016-03-31 16:55:01,6 days 01:52:16,6.077962962962962,413,59,0,266,,,,,,,,,,
44,5.5-M12,2016-03-31 14:29:42,7,0,4aa44f864269fb77e1e57c54e15ba913359d383d,c6c159847040bd5183c9ceb1df80553c6b2f3396,5.5-M13,2016-04-01 16:18:35,7,1 days 01:48:53,1.075613425925926,2016-03-31 16:55:01,2016-04-01 18:18:35,1 days 01:23:34,1.0580324074074074,42,6,0,0,,,,,,,,,,
45,5.5-M13,2016-04-01 16:18:35,13,0,c6c159847040bd5183c9ceb1df80553c6b2f3396,0bac18d71ccd2504254cd82c89ea208320a5fb30,5.5-M14,2016-04-05 09:46:02,13,3 days 17:27:27,3.7273958333333335,2016-04-01 18:18:35,2016-04-05 11:46:02,3 days 17:27:27,3.7273958333333335,70,10,0,14,,,,,,,,,,
46,5.5-M14,2016-04-05 09:46:02,37,0,0bac18d71ccd2504254cd82c89ea208320a5fb30,4c34f8c245f13967643c7ec5cd24d0d06903c44f,5.5-RC1,2016-04-07 13:38:57,37,2 days 03:52:55,2.161747685185185,2016-04-05 11:46:02,2016-04-07 15:38:57,2 days 03:52:55,2.161747685185185,196,28,0,119,,,,,,,,,,
47,5.5-M2,2016-02-17 14:21:51,6,0,1792451e5e318a0cfb2e0085115d4c68f8025828,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,5.5-M3,2016-02-18 15:47:35,6,1 days 01:25:44,1.059537037037037,2016-02-17 15:22:01,2016-02-18 16:47:35,1 days 01:25:34,1.0594212962962963,67,9,0,0,,,,,,,,,,
48,5.5-M3,2016-02-18 15:47:35,28,0,c096255c9f57d03a70e02fd99ba06e9e0d737fc3,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,5.5-M4,2016-02-22 21:19:15,28,4 days 05:31:40,4.2303240740740735,2016-02-18 16:47:35,2016-02-23 09:12:00,4 days 16:24:25,4.683622685185185,191,27,0,56,,,,,,,,,,
49,5.5-M4,2016-02-22 21:19:15,27,0,b94c3c5acca681d305e4a3cd93cdfafe4ad3cfeb,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,5.5-M5,2016-02-26 08:50:59,27,3 days 11:31:44,3.4803703703703706,2016-02-23 09:12:00,2016-02-26 09:50:59,3 days 00:38:59,3.0270717592592598,178,24,0,59,,,,,,,,,,
50,5.5-M5,2016-02-26 08:50:59,114,0,26c5dfb16763787a4ffe2219def80ebb3b20bdfd,50cc345d65a5efa7321def634af7b1af130a5990,5.5-M6,2016-03-02 14:02:34,114,5 days 05:11:35,5.216377314814816,2016-02-26 09:50:59,2016-03-02 15:07:51,5 days 05:16:52,5.220046296296296,354,50,0,133,,,,,,,,,,
51,5.5-M6,2016-03-02 14:02:34,24,0,50cc345d65a5efa7321def634af7b1af130a5990,dd17d404a9b1440d45f12e25ad41f294b6b56a34,5.5-M7,2016-03-04 16:01:31,24,2 days 01:58:57,2.0826041666666666,2016-03-02 15:07:51,2016-03-04 17:01:31,2 days 01:53:40,2.0789351851851854,149,21,0,42,,,,,,,,,,
52,5.5-M7,2016-03-04 16:01:31,122,0,dd17d404a9b1440d45f12e25ad41f294b6b56a34,63e3178d2c454d17a7c507a0efca93770be40d41,5.5-M10,2016-03-14 13:09:03,122,9 days 21:07:32,9.88023148148148,2016-03-04 17:01:31,2016-03-14 14:09:03,9 days 21:07:32,9.88023148148148,684,96,0,287,,,,,,,,,,
53,5.5-RC1,2016-04-07 13:38:57,64,0,4c34f8c245f13967643c7ec5cd24d0d06903c44f,23454578ad135cd6d2280d04198a4d5eacf20979,5.5-RC2,2016-04-28 06:45:25,64,20 days 17:06:28,20.712824074074074,2016-04-07 15:38:57,2016-04-28 08:45:25,20 days 17:06:28,20.712824074074074,420,60,0,133,,,,,,,,,,
54,5.5-RC2,2016-04-28 06:45:25,3,0,23454578ad135cd6d2280d04198a4d5eacf20979,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,5.5,2016-05-02 14:09:29,3,4 days 07:24:04,4.30837962962963,2016-04-28 08:45:25,2016-05-02 16:09:29,4 days 07:24:04,4.30837962962963,21,3,0,0,5.5,5.5,5.5,11.0,2.0,4.0,0.15384615384615385,0.0,1.0,-73.75304924242425
55,5.6,2016-06-01 11:59:09,32,0,074f3d1169f9688d15af4aff67e7e672cbeed782,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,5.6.1,2016-07-25 08:13:12,32,53 days 20:14:03,53.843090277777776,2016-06-01 13:59:09,2016-07-25 10:13:12,53 days 20:14:03,53.843090277777776,217,31,0,42,5.6.1,5.6.1,5.6.1,12.0,0.0,0.0,0.0,2.0,1.0,-70.0984944058642
56,5.6-RC1,2016-05-20 11:21:25,24,0,a28bb3e5d6988747f1bcd7896be07a6afe56914f,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,5.6-RC2,2016-05-27 15:14:46,24,7 days 03:53:21,7.162048611111112,2016-05-20 13:21:25,2016-05-27 17:14:46,7 days 03:53:21,7.162048611111112,175,25,0,49,,,,,,,,,,
57,5.6-RC2,2016-05-27 15:14:46,7,0,ad239bd651c1ccd555c4f84111416bb0b2aefe0b,074f3d1169f9688d15af4aff67e7e672cbeed782,5.6,2016-06-01 11:59:09,7,4 days 20:44:23,4.8641550925925925,2016-05-27 17:14:46,2016-06-01 13:59:09,4 days 20:44:23,4.8641550925925925,56,8,0,21,5.6,5.6,5.6,46.0,2.0,2.0,0.04166666666666666,1.0,5.0,-89.51382145732691
58,5.6.1,2016-07-25 08:13:12,25,0,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,9c1c190107023ffca5f67d6d0184ff5371c5347f,5.6.2,2016-09-19 14:34:40,25,56 days 06:21:28,56.26490740740741,2016-07-25 10:13:12,2016-09-19 16:34:40,56 days 06:21:28,56.26490740740741,168,24,0,61,5.6.2,5.6.2,5.6.2,2.0,0.0,0.0,0.0,0.0,0.0,-8.016255787037037
59,5.6.1,2016-07-25 08:13:12,450,2,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,41affbb82c5e897eea64f77538ce4b20322ba61c,6.0-RC1,2016-07-20 08:30:19,452,-5 days +00:17:07,-4.988113425925926,2016-07-25 10:13:12,2016-07-20 10:30:19,-5 days +00:17:07,-4.988113425925926,2534,362,0,1725,,,,,,,,,,
60,5.6.2,2016-09-19 14:34:40,13,0,9c1c190107023ffca5f67d6d0184ff5371c5347f,a68d912046cfbbe3f9d1493ab53414face1adae2,5.6.3,2016-10-03 13:56:53,13,13 days 23:22:13,13.973761574074073,2016-09-19 16:34:40,2016-10-03 15:56:53,13 days 23:22:13,13.973761574074073,105,15,0,35,5.6.3,5.6.3,5.6.3,8.0,0.0,0.0,0.0,0.0,0.0,-157.98924479166666
61,5.6.3,2016-10-03 13:56:53,17,0,a68d912046cfbbe3f9d1493ab53414face1adae2,52298794f1a34a4fd713ff8d441a0c13432e40a9,5.6.4,2016-12-12 10:11:54,17,69 days 20:15:01,69.84376157407408,2016-10-03 15:56:53,2016-12-12 11:11:54,69 days 19:15:01,69.80209490740741,105,15,0,21,5.6.4,5.6.4,5.6.4,3.0,0.0,0.0,0.0,0.0,0.0,-103.2878549382716
62,5.6.4,2016-12-12 10:11:54,11,0,52298794f1a34a4fd713ff8d441a0c13432e40a9,29a8d73d1b3fb39fd35c777bf07be40873391517,5.6.5,2017-01-18 16:19:42,11,37 days 06:07:48,37.25541666666667,2016-12-12 11:11:54,2017-01-18 17:19:42,37 days 06:07:48,37.25541666666667,91,13,0,21,5.6.5,5.6.5,5.6.5,3.0,0.0,0.0,0.0,0.0,0.0,-136.31528549382716
63,5.6.5,2017-01-18 16:19:42,3,0,29a8d73d1b3fb39fd35c777bf07be40873391517,05221592672b903c703c0424dc77458e615c106d,5.6.6,2017-02-16 20:34:26,3,29 days 04:14:44,29.17689814814815,2017-01-18 17:19:42,2017-02-16 21:34:26,29 days 04:14:44,29.17689814814815,28,4,0,21,5.6.6,5.6.6,5.6.6,12.0,0.0,0.0,0.0,0.0,1.0,-74.45943287037038
64,5.6.6,2017-02-16 20:34:26,10,0,05221592672b903c703c0424dc77458e615c106d,3de1bdeb3255fedc75885313205143f28aa89e9c,5.6.7,2017-09-25 10:46:49,10,220 days 14:12:23,220.5919328703704,2017-02-16 21:34:26,2017-09-25 12:46:49,220 days 15:12:23,220.63359953703704,70,10,0,7,5.6.7,5.6.7,5.6.7,3.0,0.0,0.0,0.0,0.0,0.0,-128.51067515432098
65,6.0,2016-08-03 09:19:42,564,0,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,12e24a98549f51fc560d782a9d93164021feaccc,6.1-RC1,2016-09-19 14:58:22,564,47 days 05:38:40,47.23518518518519,2016-08-03 11:19:42,2016-09-19 16:58:22,47 days 05:38:40,47.23518518518519,969,427,2,879,,,,,,,,,,
66,6.0-RC1,2016-07-20 08:30:19,18,0,41affbb82c5e897eea64f77538ce4b20322ba61c,f6e1edf894578320cfad5ef62e9820a10026238a,6.0-RC2,2016-07-29 08:11:06,18,8 days 23:40:47,8.986655092592592,2016-07-20 10:30:19,2016-07-29 10:11:06,8 days 23:40:47,8.986655092592592,98,14,0,0,,,,,,,,,,
67,6.0-RC2,2016-07-29 08:11:06,9,0,f6e1edf894578320cfad5ef62e9820a10026238a,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,6.0,2016-08-03 09:19:42,9,5 days 01:08:36,5.047638888888889,2016-07-29 10:11:06,2016-08-03 11:19:42,5 days 01:08:36,5.047638888888889,56,8,0,0,6.0,6.0,6.0,35.0,2.0,2.0,0.054054054054054064,3.0,1.0,-85.03543518518518
