,issue_id,subtask_key,subtask_id
437,29614,SONAR-6988,43177
438,29614,SONAR-6989,43179
439,29614,SONAR-6990,43180
440,29614,SONAR-6991,43195
441,29614,SONAR-6993,43208
442,29614,SONAR-6994,43209
443,29315,SONAR-6410,29806
444,29315,SONAR-6411,29801
445,29315,SONAR-6412,29810
446,29315,SONAR-6413,29814
447,29315,SONAR-6414,29809
448,29315,SONAR-6416,30062
449,29315,SONAR-6418,29802
450,29310,SONAR-6254,29333
451,29310,SONAR-6257,29337
452,29310,SONAR-6258,29343
453,29310,SONAR-6259,29336
454,29310,SONAR-6260,29338
455,29310,SONAR-6261,29331
456,29310,SONAR-6262,29332
457,29310,SONAR-6274,29411
458,29310,SONAR-6275,27734
459,29310,SONAR-6276,29400
460,29310,SONAR-6277,29406
461,29310,SONAR-6278,29405
462,29310,SONAR-6280,29403
463,29310,SONAR-6281,29398
464,29310,SONAR-6316,29603
465,29310,SONAR-6317,29607
466,29310,SONAR-6318,28763
467,29310,SONAR-6319,29605
468,29310,SONAR-6320,29597
469,29310,SONAR-6321,29606
470,29310,SONAR-6338,27850
471,29310,SONAR-6339,27849
472,29561,SONAR-6247,29317
473,29561,SONAR-6248,29322
474,29318,SONAR-6244,29520
475,29318,SONAR-6245,29321
476,28323,SONAR-6118,27063
477,28323,SONAR-6119,28218
478,28323,SONAR-6120,26879
479,28323,SONAR-6121,26900
480,28323,SONAR-6122,26899
481,28323,SONAR-6123,26904
482,28092,SONAR-6741,40701
483,28092,SONAR-6771,40882
484,30119,SONAR-6047,30179
485,29720,SONAR-5954,29722
486,29720,SONAR-5955,29728
487,29720,SONAR-5956,29723
488,29720,SONAR-5958,29741
489,29720,SONAR-6071,27743
490,29720,SONAR-6072,26683
491,29720,SONAR-6073,26678
492,29720,SONAR-6074,26675
493,29720,SONAR-6075,27752
494,29720,SONAR-6076,28392
495,29695,SONAR-5945,29693
496,29922,SONAR-6012,30125
497,29922,SONAR-6014,30126
498,29922,SONAR-6060,26526
499,29922,SONAR-6088,26758
500,29661,SONAR-5934,29662
501,29661,SONAR-5961,29725
502,29679,SONAR-5918,28835
503,29679,SONAR-5919,28999
504,28604,SONAR-6137,28615
505,29625,SONAR-5941,30139
506,29625,SONAR-5942,29686
507,29625,SONAR-5943,29684
508,29625,SONAR-5952,29707
509,29596,SONAR-5568,29246
510,29596,SONAR-5852,28546
511,29596,SONAR-5853,28543
512,28563,SONAR-4089,26974
513,28563,SONAR-8007,51643
514,28563,SONAR-8008,51644
515,28563,SONAR-8014,51689
516,28563,SONAR-8026,51748
517,28563,SONAR-8027,51749
518,28563,SONAR-8034,51780
519,28563,SONAR-8054,51902
520,30989,SONAR-6008,30122
521,29715,SONAR-5973,29755
522,29715,SONAR-5974,29768
523,29715,SONAR-5975,29754
524,29715,SONAR-5976,29756
525,29715,SONAR-5977,29766
526,29715,SONAR-5978,29765
527,29715,SONAR-5979,29764
528,29715,SONAR-5980,29772
529,29715,SONAR-5981,29769
530,29715,SONAR-5982,29762
531,29715,SONAR-5983,29774
532,29715,SONAR-5984,29763
533,29715,SONAR-5985,29761
534,29715,SONAR-5986,29779
535,29715,SONAR-5987,26605
536,29715,SONAR-5988,29773
537,29715,SONAR-5989,29760
538,29715,SONAR-5990,29771
539,29715,SONAR-5991,29767
540,29715,SONAR-5992,29778
541,29715,SONAR-5993,29757
542,29715,SONAR-5994,29775
543,29715,SONAR-6001,30121
544,29715,SONAR-6002,30114
545,29715,SONAR-6010,30127
546,29715,SONAR-6017,30141
547,29715,SONAR-6019,30131
548,27887,SONAR-5801,27690
549,27887,SONAR-5802,27740
550,27887,SONAR-5803,27745
551,27887,SONAR-5804,27701
552,27887,SONAR-5814,27841
553,27887,SONAR-5815,27845
554,27887,SONAR-5825,28156
555,27887,SONAR-5826,27933
556,27887,SONAR-5827,28690
557,27887,SONAR-5866,28692
558,27887,SONAR-5867,28695
559,27887,SONAR-5868,29611
560,27887,SONAR-5869,28709
561,27887,SONAR-5871,28865
562,26968,SONAR-5742,27000
563,26968,SONAR-5745,26998
564,26968,SONAR-5747,27022
565,26968,SONAR-5748,27033
566,26968,SONAR-5749,27034
567,26968,SONAR-5752,27029
568,26968,SONAR-5775,27485
569,26968,SONAR-5776,27800
570,26968,SONAR-5779,27571
571,26968,SONAR-5780,27598
572,26968,SONAR-5781,27568
573,26968,SONAR-5782,27590
574,26968,SONAR-5783,27587
575,26968,SONAR-5784,27582
576,26968,SONAR-5785,27599
577,26968,SONAR-5786,27572
578,26968,SONAR-5787,27561
579,26968,SONAR-5798,27630
580,26968,SONAR-5800,27633
581,26968,SONAR-5805,27699
582,26968,SONAR-5816,27824
583,26968,SONAR-5822,28684
584,28696,SONAR-5624,28112
585,28696,SONAR-5626,28110
586,28696,SONAR-5627,28622
587,28696,SONAR-5694,27419
588,28696,SONAR-5695,27356
589,28696,SONAR-5696,27421
590,28696,SONAR-5698,28107
591,26567,SONAR-5644,29427
592,26567,SONAR-5645,29417
593,27093,SONAR-5530,29227
594,27093,SONAR-5531,29226
595,27093,SONAR-5559,29244
596,27093,SONAR-5560,29387
597,27093,SONAR-5561,29236
598,27093,SONAR-5563,29229
599,27093,SONAR-5566,29230
600,27093,SONAR-5567,29228
601,27093,SONAR-5589,29285
602,27093,SONAR-5590,29284
603,27093,SONAR-5601,29300
604,27093,SONAR-5603,29314
605,27093,SONAR-5613,29294
606,27093,SONAR-5614,29530
607,27093,SONAR-5658,29551
608,27093,SONAR-5663,29515
609,29178,SONAR-5484,29194
610,29178,SONAR-5493,29169
611,28254,SONAR-8445,54939
612,28254,SONAR-8463,55061
613,28254,SONAR-8506,55286
614,28254,SONAR-8535,55639
615,28515,SONAR-5474,28261
616,28159,SONAR-5288,29012
617,28159,SONAR-5289,28861
618,28159,SONAR-5290,29021
619,28159,SONAR-5291,26841
620,28159,SONAR-5294,29003
621,28159,SONAR-5296,27171
622,28159,SONAR-5297,27489
623,28159,SONAR-5298,28843
624,28159,SONAR-5299,28845
625,28159,SONAR-5300,27347
626,28159,SONAR-5310,27560
627,28159,SONAR-5311,28991
628,28159,SONAR-5312,28988
629,28159,SONAR-5313,27671
630,28159,SONAR-5315,28985
631,28159,SONAR-5316,28995
632,28159,SONAR-5317,28983
633,28159,SONAR-5318,27417
634,28159,SONAR-5323,27525
635,28159,SONAR-5324,27595
