,from_author_date,to_author_date,from_tag,to_tag,ahead_by,behind_by,from_sha,to_sha,ahead_behind_sum,diff_author_dates,diff_author_days,from_commit_date,to_commit_date,diff_commit_dates,diff_commit_days
0,2015-10-16 09:31:18,2016-04-08 13:44:39,4.5.6,4.5.7,7,0,12d931e5a31e1692a428bbb34ba11cd63aebf998,e2afb0bff1b8be759789d2c1bc9348de6f519f83,7,175 days 04:13:21,175.1759375,2015-10-16 11:31:18,2016-04-08 15:44:39,175 days 04:13:21,175.1759375
43,2015-04-02 08:09:45,2015-06-02 08:34:06,5.1,5.1.1,7,0,4aa9af3a6a4362b61db365fba32eb0a55d411e7a,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,7,61 days 00:24:21,61.01690972222222,2015-04-02 10:09:45,2015-06-02 10:34:06,61 days 00:24:21,61.01690972222222
66,2015-06-02 08:34:06,2015-07-27 08:03:21,5.1.1,5.1.2,12,0,0a231d24c0f1e7ce1d200274b8e9bbe00f9f49fb,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,12,54 days 23:29:15,54.97864583333333,2015-06-02 10:34:06,2015-07-27 10:03:21,54 days 23:29:15,54.97864583333333
90,2015-07-27 08:03:21,2015-11-02 08:56:19,5.1.2,5.2,2853,0,2a52a7106b2bfbd659c591c2d6fc09ad0ab2db5c,f045be98be3ba032b6b19d71574038eeeb91803b,2853,98 days 00:52:58,98.0367824074074,2015-07-27 10:03:21,2015-11-02 09:56:19,97 days 23:52:58,97.99511574074074
115,2015-11-02 08:56:19,2016-01-08 10:09:15,5.2,5.3,561,0,f045be98be3ba032b6b19d71574038eeeb91803b,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,561,67 days 01:12:56,67.05064814814814,2015-11-02 09:56:19,2016-01-08 11:09:15,67 days 01:12:56,67.05064814814814
141,2016-01-08 10:09:15,2016-03-08 15:48:19,5.3,5.4,438,0,8db783e62b266eeb0d0b10dc050a7ca50e96c5d1,7b02df9be3cd9448699b5857586e1c6e2b28c007,438,60 days 05:39:04,60.23546296296296,2016-01-08 11:09:15,2016-03-08 16:48:19,60 days 05:39:04,60.23546296296296
168,2016-03-08 15:48:19,2016-05-02 14:09:29,5.4,5.5,725,0,7b02df9be3cd9448699b5857586e1c6e2b28c007,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,725,54 days 22:21:10,54.93136574074074,2016-03-08 16:48:19,2016-05-02 16:09:29,54 days 23:21:10,54.97303240740741
196,2016-05-02 14:09:29,2016-06-01 11:59:09,5.5,5.6,349,0,5773a4aab0ef6c0de79d3038e82f8a051049d6d0,074f3d1169f9688d15af4aff67e7e672cbeed782,349,29 days 21:49:40,29.909490740740736,2016-05-02 16:09:29,2016-06-01 13:59:09,29 days 21:49:40,29.909490740740736
225,2016-06-01 11:59:09,2016-07-25 08:13:12,5.6,5.6.1,32,0,074f3d1169f9688d15af4aff67e7e672cbeed782,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,32,53 days 20:14:03,53.843090277777776,2016-06-01 13:59:09,2016-07-25 10:13:12,53 days 20:14:03,53.843090277777776
255,2016-07-25 08:13:12,2016-09-19 14:34:40,5.6.1,5.6.2,25,0,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,9c1c190107023ffca5f67d6d0184ff5371c5347f,25,56 days 06:21:28,56.26490740740741,2016-07-25 10:13:12,2016-09-19 16:34:40,56 days 06:21:28,56.26490740740741
261,2016-07-25 08:13:12,2016-08-03 09:19:42,5.6.1,6.0,475,0,4f37a3f3b40da4bba953d1ed9a2b0d114869a8ad,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,475,9 days 01:06:30,9.046180555555557,2016-07-25 10:13:12,2016-08-03 11:19:42,9 days 01:06:30,9.046180555555557
286,2016-09-19 14:34:40,2016-10-03 13:56:53,5.6.2,5.6.3,13,0,9c1c190107023ffca5f67d6d0184ff5371c5347f,a68d912046cfbbe3f9d1493ab53414face1adae2,13,13 days 23:22:13,13.973761574074073,2016-09-19 16:34:40,2016-10-03 15:56:53,13 days 23:22:13,13.973761574074073
318,2016-10-03 13:56:53,2016-12-12 10:11:54,5.6.3,5.6.4,17,0,a68d912046cfbbe3f9d1493ab53414face1adae2,52298794f1a34a4fd713ff8d441a0c13432e40a9,17,69 days 20:15:01,69.84376157407408,2016-10-03 15:56:53,2016-12-12 11:11:54,69 days 19:15:01,69.80209490740741
351,2016-12-12 10:11:54,2017-01-18 16:19:42,5.6.4,5.6.5,11,0,52298794f1a34a4fd713ff8d441a0c13432e40a9,29a8d73d1b3fb39fd35c777bf07be40873391517,11,37 days 06:07:48,37.25541666666667,2016-12-12 11:11:54,2017-01-18 17:19:42,37 days 06:07:48,37.25541666666667
385,2017-01-18 16:19:42,2017-02-16 20:34:26,5.6.5,5.6.6,3,0,29a8d73d1b3fb39fd35c777bf07be40873391517,05221592672b903c703c0424dc77458e615c106d,3,29 days 04:14:44,29.17689814814815,2017-01-18 17:19:42,2017-02-16 21:34:26,29 days 04:14:44,29.17689814814815
420,2017-02-16 20:34:26,2017-09-25 10:46:49,5.6.6,5.6.7,10,0,05221592672b903c703c0424dc77458e615c106d,3de1bdeb3255fedc75885313205143f28aa89e9c,10,220 days 14:12:23,220.5919328703704,2017-02-16 21:34:26,2017-09-25 12:46:49,220 days 15:12:23,220.63359953703704
493,2016-08-03 09:19:42,2016-10-11 07:02:29,6.0,6.1,592,0,8fd98eebd4c693bedae9c2ce45d6edc9ff2830fa,442f1a11b2365618f58f3f456a756995a6318225,592,68 days 21:42:47,68.90471064814814,2016-08-03 11:19:42,2016-10-11 09:02:29,68 days 21:42:47,68.90471064814814
531,2016-10-11 07:02:29,2016-11-17 19:45:38,6.1,6.1.1,4,0,442f1a11b2365618f58f3f456a756995a6318225,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,4,37 days 12:43:09,37.529965277777784,2016-10-11 09:02:29,2016-11-17 20:45:38,37 days 11:43:09,37.48829861111111
570,2016-11-17 19:45:38,2016-12-13 15:05:23,6.1.1,6.2,692,0,6a70cefe40b1b8127eb4e7ef3436a5c43fe938b4,4a28f29f95254b58f3cf0a0871bc632e998403f5,692,25 days 19:19:45,25.805381944444445,2016-11-17 20:45:38,2016-12-13 16:05:23,25 days 19:19:45,25.805381944444445
609,2016-12-13 15:05:23,2017-03-14 09:12:39,6.2,6.3,1015,0,4a28f29f95254b58f3cf0a0871bc632e998403f5,43ea4f4c43aa89d4c435017f86d0da254e115e6b,1015,90 days 18:07:16,90.75504629629629,2016-12-13 16:05:23,2017-03-14 10:12:39,90 days 18:07:16,90.75504629629629
648,2017-03-14 09:12:39,2017-04-11 12:44:29,6.3,6.3.1,11,0,43ea4f4c43aa89d4c435017f86d0da254e115e6b,54be39f47d188340b14d4d9236bbf3d43b1db2ae,11,28 days 03:31:50,28.147106481481487,2017-03-14 10:12:39,2017-04-11 14:44:46,28 days 04:32:07,28.18896990740741
687,2017-04-11 12:44:29,2017-04-24 08:51:14,6.3.1,6.3.2,7,0,54be39f47d188340b14d4d9236bbf3d43b1db2ae,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,7,12 days 20:06:45,12.838020833333333,2017-04-11 14:44:46,2017-04-24 10:51:14,12 days 20:06:28,12.837824074074076
726,2017-04-24 08:51:14,2017-06-02 08:32:25,6.3.2,6.4,1036,0,84ad17dd4e53eae1221d1af96fb45d8997f2e2fa,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,1036,38 days 23:41:11,38.98693287037037,2017-04-24 10:51:14,2017-06-02 10:32:25,38 days 23:41:11,38.98693287037037
765,2017-06-02 08:32:25,2017-08-01 11:58:54,6.4,6.5,413,0,ad64a17b531c0e1f6fef0ce7e4d0d0b060977754,ef2ca5b33e5795b841d45e0b20fef3cb90391719,413,60 days 03:26:29,60.1433912037037,2017-06-02 10:32:25,2017-08-01 13:58:54,60 days 03:26:29,60.1433912037037
804,2017-08-01 11:58:54,2017-10-20 12:09:25,6.5,6.6,1055,0,ef2ca5b33e5795b841d45e0b20fef3cb90391719,353296630a2d150f48c76183e82188dfcaa42df0,1055,80 days 00:10:31,80.00730324074074,2017-08-01 13:58:54,2017-10-20 14:09:25,80 days 00:10:31,80.00730324074074
843,2017-10-20 12:09:25,2017-11-07 15:03:37,6.6,6.7,373,0,353296630a2d150f48c76183e82188dfcaa42df0,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,373,18 days 02:54:12,18.120972222222218,2017-10-20 14:09:25,2017-11-07 16:03:37,18 days 01:54:12,18.079305555555557
882,2017-11-07 15:03:37,2017-12-20 16:32:02,6.7,6.7.1,25,0,5d031d9d2ac3f69b4b9bc600d50563b1886c7d8b,426519346f51f7b980a76f9050f983110550509d,25,43 days 01:28:25,43.06140046296297,2017-11-07 16:03:37,2017-12-20 17:32:02,43 days 01:28:25,43.06140046296297
921,2017-12-20 16:32:02,2018-02-22 16:56:57,6.7.1,6.7.2,30,0,426519346f51f7b980a76f9050f983110550509d,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,30,64 days 00:24:55,64.01730324074074,2017-12-20 17:32:02,2018-02-22 17:56:57,64 days 00:24:55,64.01730324074074
927,2017-12-20 16:32:02,2018-02-02 12:20:31,6.7.1,7.0,426,0,426519346f51f7b980a76f9050f983110550509d,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,426,43 days 19:48:29,43.82533564814815,2017-12-20 17:32:02,2018-02-02 13:20:31,43 days 19:48:29,43.82533564814815
960,2018-02-22 16:56:57,2018-04-06 14:12:21,6.7.2,6.7.3,15,0,e3ae3ad6546d35ab9eb7c244352a58eea0a2f124,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,15,42 days 21:15:24,42.885694444444454,2018-02-22 17:56:57,2018-04-06 16:12:21,42 days 22:15:24,42.92736111111111
999,2018-04-06 14:12:21,2018-05-30 07:23:04,6.7.3,6.7.4,20,0,baa823c2ae6ed4dd406b2ef12bc5ac6201e466f9,b62b59da1adf991c41ed0730684f813d4116f6cc,20,53 days 17:10:43,53.715775462962974,2018-04-06 16:12:21,2018-05-30 09:23:04,53 days 17:10:43,53.715775462962974
1038,2018-05-30 07:23:04,2018-08-06 10:17:09,6.7.4,6.7.5,27,0,b62b59da1adf991c41ed0730684f813d4116f6cc,ec8ab77fa180a9edaf664075e8e76ae0b4a2d9f1,27,68 days 02:54:05,68.12089120370369,2018-05-30 09:23:04,2018-08-06 12:17:09,68 days 02:54:05,68.12089120370369
