,from_tag,from_date,from_sha,to_sha,ahead_by,behind_by,to_tag,to_date,diff_dates,diff_days
287,7.0-RC1,2018-01-24 14:36:36,b19047de0e815b1c6474770e8bc0fff41daa4d01,3b827a9a9a4b133c9fbe168aec8db44d78efeaeb,7,0,7.0,2018-02-02 12:20:31,8 days 21:43:55,8.905497685185185
249,7.5,2018-12-18 09:56:40,cb851ba202973bd468e070572c1e3b0b0437d2f4,c2edd480f08c8a692757df5ce6c89cddb566b666,243,0,7.6,2019-01-21 15:04:13,34 days 05:07:33,34.21357638888889
230,7.6,2019-01-21 15:04:13,c2edd480f08c8a692757df5ce6c89cddb566b666,69bc562d207053ef21afd12c8bc9c5217b50227a,236,0,7.7,2019-03-19 16:29:12,57 days 01:24:59,57.0590162037037
211,7.7,2019-03-19 16:29:12,69bc562d207053ef21afd12c8bc9c5217b50227a,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,509,0,7.8,2019-06-18 09:08:04,90 days 16:38:52,90.6936574074074
192,7.8,2019-06-18 09:08:04,870ae4efbf5dcdbe59295eb5827b55a6a74c7b89,6502ec4ffee7e5a57498baaf330b80eb490d01c2,141,0,7.9,2019-07-01 07:56:26,12 days 22:48:22,12.950254629629631
173,7.9,2019-07-01 07:56:26,6502ec4ffee7e5a57498baaf330b80eb490d01c2,6818fad17ba67e97d395a8488d5412e00892d5e1,17,0,7.9.1,2019-07-10 12:20:33,9 days 04:24:07,9.183414351851852
113,7.9,2019-07-01 07:56:26,6502ec4ffee7e5a57498baaf330b80eb490d01c2,87ca68d63f4afd37d74b2f454430dfde9e862c6a,415,1,8.0,2019-10-15 08:15:12,106 days 00:18:46,106.0130324074074
144,7.9.1,2019-07-10 12:20:33,6818fad17ba67e97d395a8488d5412e00892d5e1,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,19,0,7.9.2,2019-12-09 13:03:50,152 days 00:43:17,152.03005787037037
92,7.9.2,2019-12-09 13:03:50,5832fefc31f5ba25f15b3fa66ed816f7b87fd835,898a79cc7df01a9603c17f92b93e46ec62bc77d2,11,0,7.9.3,2020-03-24 07:49:27,105 days 18:45:37,105.78167824074076
73,7.9.3,2020-03-24 07:49:27,898a79cc7df01a9603c17f92b93e46ec62bc77d2,2f8d99a55899105cbf3e3170194c614c2a6ea4d7,14,0,7.9.4,2020-07-23 14:40:10,121 days 06:50:43,121.2852199074074
125,8.0,2019-10-15 08:15:12,87ca68d63f4afd37d74b2f454430dfde9e862c6a,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,196,0,8.1.0.31237,2019-12-17 12:29:34,63 days 04:14:22,63.176643518518524
41,8.1.0.31237,2019-12-17 12:29:34,65a7a7c34de5bff9aed7c3e58eb6dcc87ae34b57,749367809478e5b7f60c6ef952436db9789b5882,262,1,8.2.0.32929,2020-02-25 14:32:24,70 days 02:02:50,70.08530092592592
55,8.2.0.32929,2020-02-25 14:32:24,749367809478e5b7f60c6ef952436db9789b5882,9c58e36328ae79ad3c36c13aa253879351ce3613,180,0,8.3.0.34182,2020-04-28 13:54:13,62 days 23:21:49,62.97348379629629
26,8.3.0.34182,2020-04-28 13:54:13,9c58e36328ae79ad3c36c13aa253879351ce3613,b77ce511a2039330aea8832ad12e86a8cfa9ff7d,3,0,8.3.1.34397,2020-05-07 12:09:22,8 days 22:15:09,8.9271875
