,issue_id,component_name,component_id
212,96495,Documentation,11067
213,96495,Web,11366
214,96491,Portfolio & Application,12272
215,96491,Web API,11100
216,96466,Plugin API,11065
217,96456,Compute Engine,11118
218,96456,Portfolio & Application,12272
219,96443,Branch & PR,11094
220,96440,Portfolio & Application,12272
221,96440,Web API,11100
222,96424,Issues,11096
223,96424,Web,11366
224,96423,Measures,11112
225,96423,Web,11366
226,96417,Activity,11062
227,96417,Issues,11096
228,96417,Quality Gate,11101
229,96410,Portfolio & Application,12272
230,96410,Web API,11100
231,96391,Web API,11100
232,96367,Branch & PR,11094
233,96367,Compute Engine,11118
234,96367,Database,11077
235,96366,Branch & PR,11094
236,96361,Issues,11096
237,96313,Web,11366
238,96313,Web API,11100
239,96290,Coverage & Tests,11091
240,96290,Quality Gate,11101
241,96199,Marketplace,12172
242,96189,Web,11366
243,96173,Web,11366
244,96166,Web API,11100
245,96138,Web,11366
246,96133,Web,11366
247,96061,Branch & PR,11094
248,96061,Settings,11891
249,96055,Web,11366
250,96055,Web API,11100
251,96048,Branch & PR,11094
252,96048,Database,11077
253,96037,Branch & PR,11094
254,96001,Branch & PR,11094
255,95998,Branch & PR,11094
256,95997,Branch & PR,11094
257,95996,Branch & PR,11094
258,95970,Duplications,11063
259,95967,Documentation,11067
260,95967,Web,11366
261,95966,Documentation,11067
262,95966,Web,11366
263,95961,ElasticSearch,11119
264,95956,Web,11366
265,95923,Web,11366
266,95912,Authentication & Authorization,11086
267,95904,Scanner,11105
268,95887,Database,11077
269,95863,Branch & PR,11094
270,95830,Coverage & Tests,11091
271,95829,Coverage & Tests,11091
272,95829,Rules,11073
273,95829,Web,11366
274,95828,Coverage & Tests,11091
275,95828,Measures,11112
276,95828,Portfolio & Application,12272
277,95826,Coverage & Tests,11091
278,95826,Issues,11096
279,95825,Coverage & Tests,11091
280,95825,Measures,11112
281,95824,Coverage & Tests,11091
282,95824,Measures,11112
283,95824,Portfolio & Application,12272
284,95791,Issues,11096
285,95791,Web,11366
286,95791,Web API,11100
287,95777,Compute Engine,11118
288,95777,Issues,11096
289,95777,Rules,11073
290,95773,ElasticSearch,11119
291,95772,Web,11366
292,95766,Issues,11096
293,95766,Rules,11073
294,95742,Settings,11891
295,95731,Portfolio & Application,12272
296,95731,Web,11366
297,95717,Compute Engine,11118
298,95717,Project Export,12373
299,95712,Settings,11891
300,95710,Web,11366
301,95650,UX/UI,11968
302,95644,Web,11366
303,95627,Web,11366
304,95621,Issues,11096
305,95621,Security Hotspots,12573
306,95620,Web,11366
307,95590,Web,11366
308,95565,Web,11366
309,95562,Security Hotspots,12573
310,95562,Web,11366
311,95562,Web API,11100
312,95560,Web,11366
313,95559,Security Hotspots,12573
314,95559,Web,11366
315,95559,Web API,11100
316,95534,Web,11366
317,95471,Compute Engine,11118
318,95465,Branch & PR,11094
319,95463,Web,11366
320,95462,Compute Engine,11118
321,95454,Web,11366
322,95452,Web,11366
323,95452,Web API,11100
324,95353,Web,11366
325,95319,Web,11366
326,95056,Database,11077
327,95053,Web,11366
328,95023,Web API,11100
329,95015,ElasticSearch,11119
330,95013,Security Hotspots,12573
331,94999,Compute Engine,11118
332,94999,Web API,11100
333,94993,Documentation,11067
334,94971,Documentation,11067
335,94970,Web,11366
336,94931,Web,11366
337,94882,Database,11077
338,94874,ElasticSearch,11119
339,94874,Issues,11096
340,94874,Web,11366
341,94869,Web,11366
342,94868,Web,11366
343,94810,Portfolio & Application,12272
344,94810,Web,11366
345,94802,Portfolio & Application,12272
346,94802,Web,11366
347,94773,Security Hotspots,12573
348,94773,Web,11366
349,94772,Quality Profile,11074
350,94772,Web,11366
351,94699,Web API,11100
352,94680,Branch & PR,11094
353,94654,Authentication & Authorization,11086
354,94654,Web API,11100
355,94649,Portfolio & Application,12272
356,94643,Database,11077
357,94643,Project Export,12373
358,94632,Compute Engine,11118
359,94632,ElasticSearch,11119
360,94632,Issues,11096
361,94619,Documentation,11067
362,94617,Web,11366
363,94616,Documentation,11067
364,94616,Web,11366
365,94614,Web,11366
366,94611,Database,11077
367,94610,Web,11366
368,94609,Web,11366
369,94608,Web,11366
370,94607,Web,11366
371,94604,Web,11366
372,94604,Web API,11100
373,94601,Web,11366
374,94601,Web API,11100
375,94536,Web,11366
376,94535,Plugin API,11065
377,94534,Web,11366
378,94522,ElasticSearch,11119
379,94522,Issues,11096
380,94476,Activity,11062
381,94476,Web,11366
382,94452,ElasticSearch,11119
383,94452,Issues,11096
384,94452,Portfolio & Application,12272
385,94450,ElasticSearch,11119
386,94450,Issues,11096
387,94450,Portfolio & Application,12272
388,94449,ElasticSearch,11119
389,94449,Issues,11096
390,94446,ElasticSearch,11119
391,94446,Issues,11096
392,94419,Web,11366
393,94399,Web,11366
394,94398,Marketplace,12172
395,94398,Web,11366
396,94397,Marketplace,12172
397,94397,Web,11366
398,94396,Portfolio & Application,12272
399,94396,Web API,11100
400,94395,Portfolio & Application,12272
401,94334,Security Hotspots,12573
402,94334,Web,11366
403,94302,Web,11366
404,94283,Authentication & Authorization,11086
405,94283,Documentation,11067
406,94283,Settings,11891
407,94282,Authentication & Authorization,11086
408,94267,Branch & PR,11094
409,94264,Web,11366
410,94264,Web API,11100
411,94259,Documentation,11067
412,94252,Web,11366
413,94250,Web,11366
414,94237,Portfolio & Application,12272
415,94237,Web API,11100
416,94233,Database,11077
417,94213,UX/UI,11968
418,94213,Web,11366
419,94212,Duplications,11063
420,94212,Scanner,11105
421,94188,Branch & PR,11094
422,94188,Settings,11891
423,94173,Security Hotspots,12573
424,94127,Web,11366
425,94104,Web,11366
426,94087,Documentation,11067
427,94087,Web,11366
428,94060,Web,11366
429,94035,Web,11366
430,94017,Web,11366
431,93998,Issues,11096
432,93998,Web,11366
433,93988,Issues,11096
434,93988,Rules,11073
435,93988,Web,11366
436,93850,Web,11366
437,93829,Authentication & Authorization,11086
438,93808,Web,11366
